Codice.comune,Comune,Popolazione.censita.al.1..gennaio,Nati.vivi,Morti,Saldo.naturale,Immigrati.da.altro.comune,Emigrati.per.altro.comune,Saldo.migratorio.interno,Immigrati.dall.estero,Emigrati.per.l.estero,Saldo.migratorio.con.l.estero,Unità.in.più.meno.dovute.a.variazioni.territoriali,Aggiustamento.statistico,Saldo.totale,Popolazione.censita.al.31.dicembre,Numero.di.famiglie.al.31.dicembre,Popolazione.censita.al.31.dicembre.residente.in.famiglia,Numero.medio.di.componenti.per.famiglia.al.31.dicembre,Numero.di.convivenze.al.31.dicembre,Popolazione.censita.al.31.dicembre.residente.in.convivenza,year
7052,Pont-Saint-Martin,3630,19,41,-22,132,138,-6,16,1,15,0,-25,-38,3592,1685,3583,2.1,1,9,2019
7053,Pré-Saint-Didier,1023,8,7,1,45,35,10,5,1,4,0,-7,8,1031,509,1022,2,1,9,2019
7054,Quart,4043,33,34,-1,219,220,-1,19,13,6,0,-2,2,4045,1843,4036,2.2,1,9,2019
7055,Rhêmes-Notre-Dame,81,0,1,-1,5,0,5,0,0,0,0,0,4,85,43,82,1.9,1,3,2019
7056,Rhêmes-Saint-Georges,177,0,3,-3,3,3,0,0,0,0,0,0,-3,174,87,174,2,0,0,2019
7057,Roisan,1023,7,5,2,64,56,8,7,2,5,0,0,15,1038,463,1024,2.2,1,14,2019
7058,Saint-Christophe,3435,27,29,-2,166,153,13,20,10,10,0,-10,11,3446,1558,3405,2.2,3,41,2019
7059,Saint-Denis,382,0,4,-4,12,7,5,1,1,0,0,-1,0,382,181,382,2.1,0,0,2019
7060,Saint-Marcel,1358,8,10,-2,61,53,8,5,1,4,0,-3,7,1365,608,1358,2.2,1,7,2019
7061,Saint-Nicolas,323,1,5,-4,8,7,1,1,1,0,0,0,-3,320,163,320,2,0,0,2019
7062,Saint-Oyen,191,0,2,-2,22,4,18,0,0,0,0,-8,8,199,87,182,2.1,1,17,2019
7063,Saint-Pierre,3172,28,30,-2,149,128,21,17,7,10,0,-6,23,3195,1493,3175,2.1,3,20,2019
7064,Saint-Rhémy-en-Bosses,336,2,6,-4,10,17,-7,5,1,4,0,0,-7,329,175,301,1.7,3,28,2019
