date,load_actual_assigned,load_q95_assigned,delta_kwh_q95_minus_actual,delta_pct_q95_minus_actual
2025-01-01,37631574.05728771,38214908.435499646,583334.3782119378,1.5501195281491853
2025-02-01,31464096.269729473,32380367.259638954,916270.9899094815,2.912116026008338
2025-03-01,31918063.36687264,32591214.318819474,673150.951946835,2.1089968530029646
2025-04-01,26892545.522966355,27353668.280216027,461122.7572496725,1.7146861640742417
2025-05-01,23576471.64781952,23859366.820268493,282895.1724489748,1.1999046196343732
2025-06-01,23936125.18061668,24143439.936201364,207314.75558468382,0.8661166083496541
2025-07-01,26369459.809202272,26884508.718516976,515048.90931470285,1.9532023524234887
2025-08-01,27830089.041755676,28483905.619066775,653816.5773110978,2.349315434564825
2025-09-01,22429504.79664074,23240799.815529164,811295.0188884228,3.6170884120898306
