comune_key,date,assigned_model,beta_mixed,beta_gamm,beta_prophet,model_beta
antey saint andre,2025-01-01,Prophet,0.0649121164629451,0.1675549195501594,0.04122923082459263,0.04122923082459263
antey saint andre,2025-02-01,Prophet,0.0649121164629451,0.1691941443246768,0.04123157614948429,0.04123157614948429
antey saint andre,2025-03-01,Prophet,0.0649121164629451,0.16583930331406452,0.04122711096680503,0.04122711096680503
antey saint andre,2025-04-01,Prophet,0.0649121164629451,0.15727091354056713,0.04121849667903887,0.04121849667903887
antey saint andre,2025-05-01,Prophet,0.0649121164629451,0.11749413871135136,0.041176790974847506,0.041176790974847506
antey saint andre,2025-06-01,Prophet,0.0649121164629451,0.16671545584501377,0.04122825858394166,0.04122825858394166
antey saint andre,2025-07-01,Prophet,0.0649121164629451,0.17102394125324408,0.04123559397072997,0.04123559397072997
antey saint andre,2025-08-01,Prophet,0.0649121164629451,0.17124070553086826,0.04123706110847304,0.04123706110847304
antey saint andre,2025-09-01,Prophet,0.0649121164629451,0.15015745801916763,0.041211879860396365,0.041211879860396365
aosta,2025-01-01,Mixed,0.09357170374507806,0.1570667824080757,NA,0.09357170374507806
aosta,2025-02-01,Mixed,0.09357170374507806,0.15711092352250555,NA,0.09357170374507806
aosta,2025-03-01,Mixed,0.09357170374507806,0.1571144664909284,NA,0.09357170374507806
aosta,2025-04-01,Mixed,0.09357170374507806,0.15706804443815367,NA,0.09357170374507806
aosta,2025-05-01,Mixed,0.09357170374507806,0.15713322337766683,NA,0.09357170374507806
aosta,2025-06-01,Mixed,0.09357170374507806,0.1572693431523409,NA,0.09357170374507806
aosta,2025-07-01,Mixed,0.09357170374507806,0.15815460623923422,NA,0.09357170374507806
aosta,2025-08-01,Mixed,0.09357170374507806,0.15831524260825952,NA,0.09357170374507806
aosta,2025-09-01,Mixed,0.09357170374507806,0.15723595213522648,NA,0.09357170374507806
arnad,2025-01-01,Mixed,0.08175485875634635,0.0870387602890023,NA,0.08175485875634635
arnad,2025-02-01,Mixed,0.08175485875634635,0.09140261068217227,NA,0.08175485875634635
arnad,2025-03-01,Mixed,0.08175485875634635,0.0831226152775848,NA,0.08175485875634635
arnad,2025-04-01,Mixed,0.08175485875634635,0.09065521008896914,NA,0.08175485875634635
arnad,2025-05-01,Mixed,0.08175485875634635,0.11780299489321203,NA,0.08175485875634635
