date,load_actual_assigned,load_q95_assigned,shock_delta_kwh,scenario_tail_impact_kwh,scenario_tail_impact_weighted,shock_delta_pct_vs_actual
2025-01-01,37631574.05728771,38214908.435499646,583334.3782119378,105895.60713706615,35148.533443641885,1.5501195281491853
2025-02-01,31464096.269729473,32380367.259638954,916270.9899094815,165602.68490162108,54353.12248291698,2.912116026008338
2025-03-01,31918063.36687264,32591214.318819474,673150.951946835,118171.96593997758,38438.53085430291,2.1089968530029646
2025-04-01,26892545.522966355,27353668.28021603,461122.7572496725,74191.82076104416,23715.976593956082,1.7146861640742639
2025-05-01,23576471.64781952,23859366.820268493,282895.1724489748,43075.27738656496,13635.625173591046,1.1999046196343732
2025-06-01,23936125.18061668,24143439.936201364,207314.75558468382,32949.42857219537,10649.133900236611,0.8661166083496541
2025-07-01,26369459.809202272,26884508.718516976,515048.90931470285,81422.77932586124,26554.35328602801,1.9532023524234887
2025-08-01,27830089.041755676,28483905.61906677,653816.5773110978,101817.15321531302,33087.33232396804,2.3493154345648026
2025-09-01,22429504.79664074,23240799.815529164,811295.0188884228,133803.3260011079,43125.92438794355,3.6170884120898306
