comune_key,comune_key_norm,comune_nome,istat_muni_code,assigned_model,risk_score,p_energy_given_tourism_upper_95,lift_upper_95,tourism_intensity_rank,risk_rank,n_months,load_actual_assigned_sum,load_q95_assigned_sum,shock_delta_kwh_sum,shock_delta_kwh_abs_sum,scenario_tail_impact_kwh_sum,scenario_tail_impact_weighted_sum,scenario_tail_impact_kwh_mean,scenario_tail_impact_kwh_max,scenario_tail_impact_kwh_min,shock_delta_pct_vs_actual
ayas,ayas,Ayas,7007,Prophet,0.383172767896169,0.333333333333333,6.66666666666667,8,3,9,10390918.277584603,11299176.060808219,908257.7832236163,908257.7832236163,302752.59440787183,116006.54958701046,33639.1771564302,61709.76520802749,10630.466057868936,8.740880824584284
valtournenche,valtournenche,Valtournenche,7071,Mixed,0.27967474493287,0.142857142857143,2.85714285714286,6,10,9,17700630.825902835,18757308.60252664,1056677.776623803,1056677.776623803,150953.96808911485,42218.01252192779,16772.66312101276,34893.98224896987,3490.787672665722,5.969718181328765
gressan,gressan,Gressan,7031,GAMM,0.375662509191696,0.333333333333333,6.66666666666667,28,4,9,9537777.483835334,9829526.078052009,291748.59421667445,291748.59421667445,97249.53140555805,36533.00298552858,10805.50348950645,17293.474707249145,3336.24960854331,3.058873985172461
saint vincent,saint vincent,Saint-Vincent,7065,Mixed,0.280098913072602,0.2,4,23,9,9,12277464.930290276,12732947.20659704,455482.27630676446,455482.27630676446,91096.4552613529,25516.01810347186,10121.828362372544,18566.294236658512,3753.78622837998,3.7099049265701733
courmayeur,courmayeur,Courmayeur,7022,GAMM,0.221425714882891,0.125,2.5,4,13,9,18449565.74894429,19088853.45527666,639287.7063323697,639287.7063323697,79910.96329154621,17694.34217381108,8878.995921282913,14214.103597203037,4240.999189436901,3.4650555738362065
torgnon,torgnon,Torgnon,7067,Mixed,0.355804909779965,0.333333333333333,6.66666666666667,18,5,9,2663716.2566608754,2806155.05063531,142438.79397443458,142438.79397443458,47479.59799147814,16893.474079746888,5275.510887942016,11490.41469588306,1411.9422633100558,5.347371125518818
cogne,cogne,Cogne,7021,GAMM,0.271361534486216,0.125,2.5,9,12,9,5501549.572923715,5788059.936022331,286510.36309861613,286510.36309861613,35813.795387327016,9718.486472080425,3979.3105985918905,7425.6317842613935,1856.543223347413,5.207812077322682
gressoney la trinite,gressoney la trinite,Gressoney-La-Trinité,7032,Mixed,0.277430239626065,0.185185185185185,3.7037037037037,1,11,9,5066487.808096174,5217039.70872879,150551.90063261706,150551.90063261706,27879.981598632763,7734.74997567897,3097.775733181418,5667.038855659813,1189.7114778944513,2.971523989301561
brusson,brusson,Brusson,7012,Prophet,0.386372855607541,0.333333333333333,6.66666666666667,16,2,9,2506569.175468164,2531168.4509229464,24599.275454782444,24599.275454782444,8199.758484927474,3168.1641011135916,911.0842761030525,1466.0885998632182,361.2914544037287,0.9813922430522037
chamois,chamois,Chamois,7016,Prophet,0.33573519429832,0.25,5,12,6,9,1092890.375465954,1119096.1997226796,26205.82425672574,26205.82425672574,6551.456064181435,2199.554374644861,727.9395626868261,1509.8524192883997,280.74916225833294,2.397845643535179
bard,bard,Bard,7009,GAMM,0.190864585100967,0.1,2,10,14,9,1235927.130340717,1285967.4726400939,50040.34229937679,50040.34229937679,5004.034229937679,955.092917128092,556.0038033264088,999.5143231115392,215.89904034897336,4.0488100852339
pre saint didier,pre saint didier,Pré-Saint-Didier,7053,Prophet,0.129679479311003,0.037037037037037,0.740740740740741,7,17,9,2491362.640443752,2635869.2642322197,144506.62378846738,144506.62378846738,5352.097177350638,694.0571751807196,594.6774641500709,1059.0342347194123,184.90876906003064,5.800304678355794
valsavarenche,valsavarenche,Valsavarenche,7070,Prophet,0.16520575067686,0.0416666666666667,0.833333333333333,2,16,9,543614.6339700306,555967.9069241051,12353.272954074535,12353.272954074535,514.7197064197727,85.03465548725154,57.191078491085854,124.61465415318959,13.24442073811225,2.2724320101279005
antey saint andre,antey saint andre,Antey-Saint-André,7002,Prophet,0.00490196078431373,0,0,14,21,9,1512454.0536616493,1538926.817225398,26472.763563748624,26472.763563748624,0,0,0,0,0,1.7503185303155533
aosta,aosta,Aosta,7003,Mixed,0,0,NA,47,30,9,61844242.08710032,61245958.438601196,-598283.6484991238,598283.6484991238,0,0,0,-0,-0,-0.9674039624521735
arnad,arnad,Arnad,7004,Mixed,0,0,NA,52,54,9,2781436.653789534,2894074.8444417454,112638.19065221201,112638.19065221201,0,0,0,0,0,4.049640695528667
arvier,arvier,Arvier,7005,Mixed,0,0,NA,26,68,9,1142713.8114647164,1149712.0962105626,6998.284745846322,6998.284745846322,0,0,0,0,0,0.6124267227396007
aymavilles,aymavilles,Aymavilles,7008,Mixed,0,0,NA,54,52,9,2450704.805608724,2477715.4828306646,27010.677221940714,27010.677221940714,0,0,0,0,0,1.102159556717064
brissogne,brissogne,Brissogne,7011,Mixed,0,0,NA,70,43,9,4505358.8255290585,4504115.782051962,-1243.0434770963038,1243.0434770963038,0,0,0,-0,-0,-0.027590332429305864
challand saint anselme,challand saint anselme,Challand-Saint-Anselme,7013,Prophet,0,0,NA,35,36,9,975635.9247241055,980553.8816329978,4917.956908892345,4917.956908892345,0,0,0,0,0,0.5040770623819579
