"metric","mean_gwh","lo_gwh","hi_gwh","n_replicates"
"delta_kwh_total",-0.064397113323908,-4.82511699242117,7.62403944327635,50
"i_tail_total",-0.0259255678411646,-0.496798756550481,0.735519870122888,50
"i_w_total",-0.00956385536121109,-0.162843522136605,0.237361000466083,50
