"model","AIC","BIC","logLik","R2_marginal","R2_conditional","singular"
"M3_base",-3629.78660401258,-3476.11553612818,1837.89330200629,0.982100212666912,NA,TRUE
"M4_arrivi_turistici",-3703.16703174591,-3542.81461308393,1875.58351587296,0.982254629971205,0.982379025056804,FALSE
"M4_arrivi_x_temperatura",-3702.86604383785,-3535.83227439829,1876.43302191893,0.982235232630356,0.982393301690517,FALSE
"M4_arrivi_eterogeneo",-3741.78997222572,-3568.07485200858,1896.89498611286,0.982403729627958,0.982492234511569,FALSE
