"model","engine","term","estimate","std.error","df","statistic","p.value"
"M4_arrivi_turistici","lmerTest","(Intercept)",11.9891926455225,0.00629101288068994,743.861925983754,1905.76507676894,0
"M4_arrivi_turistici","lmerTest","log_residenti_mean_z",0.0146077168667265,0.00482019653982821,42.9195592700919,3.03052308054789,0.00412584098093439
"M4_arrivi_turistici","lmerTest","log_residenti_dev_z",0.00366228398647263,0.00266832257531224,991.311958506774,1.37250421682771,0.17021696856597
"M4_arrivi_turistici","lmerTest","temperatura_z",0.0204356947224519,0.00794465594664766,312.923931392441,2.57225672951577,0.0105648028154022
"M4_arrivi_turistici","lmerTest","log_precipitazione_z",0.0109562848794209,0.00323484933477837,5512.37795626005,3.38695368641383,0.000711678620537404
"M4_arrivi_turistici","lmerTest","pressione_z",0.00272835031609545,0.00350415488319984,261.27510995372,0.778604373104662,0.436917369264648
"M4_arrivi_turistici","lmerTest","umidit_relativa_z",-0.00563838516907002,0.00310167576932382,2967.69896508995,-1.81785124829447,0.0691876539840988
"M4_arrivi_turistici","lmerTest","sin_m1_z",-0.00959508688684639,0.00488215263549455,361.536375215552,-1.96533939088417,0.0501401359403272
"M4_arrivi_turistici","lmerTest","cos_m1_z",0.0437701291266108,0.00606710723055056,435.317407201847,7.21433254157911,2.42369492799509e-12
"M4_arrivi_turistici","lmerTest","sin_m2_z",0.00064502075529681,0.00298553495408648,3089.8059872842,0.216048636246557,0.828964097745074
"M4_arrivi_turistici","lmerTest","cos_m2_z",0.0504082403432668,0.00242156110689238,5879.80905739107,20.8164230090218,6.43813323245737e-93
"M4_arrivi_turistici","lmerTest","sin_m3_z",-0.0436165653126964,0.00239703312315893,5828.49740719377,-18.1960628292096,5.29446703704815e-72
"M4_arrivi_turistici","lmerTest","cos_m3_z",0.0147474457122726,0.00236416441474508,5881.33621809748,6.23791036710225,4.74345322992702e-10
"M4_arrivi_turistici","lmerTest","year_factor2020",-0.0059104400782389,0.00894681235669419,5497.72308402265,-0.660619653413944,0.508883940830317
"M4_arrivi_turistici","lmerTest","year_factor2021",0.0179413731811328,0.00875933812500173,5657.98264153528,2.04825672043905,0.0405809038995798
"M4_arrivi_turistici","lmerTest","year_factor2022",0.0106249369401713,0.00860773786215057,5890.18749193127,1.23434717812338,0.217122805791922
"M4_arrivi_turistici","lmerTest","year_factor2023",-0.00555009275928673,0.00874059937807709,5890.84861121738,-0.634978508820266,0.525467092819877
"M4_arrivi_turistici","lmerTest","year_factor2024",0.0176454838603555,0.0089466513847824,5886.94186269257,1.97230037267006,0.0486220579839002
