"model","engine","term","estimate","std.error","df","statistic","p.value"
"M4_arrivi_turistici","lmerTest","log_totale_arrivi_z",0.0341931760708905,0.00370810734331655,256.053451241768,9.22119369940027,1.12415870449868e-17
"M4_arrivi_x_temperatura","lmerTest","log_totale_arrivi_z",0.0368714249771818,0.00394235872094787,225.535363500573,9.35263064247909,8.82287072558487e-18
"M4_arrivi_x_temperatura","lmerTest","arrivi_x_temperatura_z",0.00370290932547098,0.00272038923320208,2590.16759341846,1.36116893872294,0.17357871110392
"M4_arrivi_eterogeneo","lmerTest","log_totale_arrivi_z",0.0194675715955634,0.00503168399539424,292.969550390835,3.86899726083416,0.000134727209639461
"M4_arrivi_eterogeneo","lmerTest","tourism_high",-0.0152495128789489,0.00784342421080999,57.8241211730019,-1.94424175832943,0.0567366760325544
"M4_arrivi_eterogeneo","lmerTest","arrivi_x_tourism_high",0.0322819234715498,0.00533321570200362,249.003921314987,6.05299415499394,5.19834832820275e-09
