"model","engine","nobs","AIC","BIC","logLik","R2_marginal","R2_conditional","singular"
"M0_baseline","lmerTest",5892,2759.10519116822,2779.14924350097,-1376.55259558411,0,0.951533924929769,FALSE
"M0_popolazione","lmerTest",5892,2691.88726909755,2725.29402298547,-1340.94363454878,0.576241705802866,0.951536080612215,FALSE
"M1_meteo","lmerTest",5892,1906.10034303642,1966.23250003467,-944.050171518212,0.585726869007219,0.957494119387731,FALSE
"M2_calendario","lmerTest",5892,585.817856712459,726.126223041692,-271.908928356229,0.587052737944627,0.966701089438761,FALSE
"M3_dinamica","lmerTest",5892,-3629.78660401258,-3476.11553612818,1837.89330200629,0.982100212666912,NA,TRUE
"M4_turismo","lmerTest",5892,-3703.16703174591,-3542.81461308393,1875.58351587296,0.982254629971205,0.982379025056804,FALSE
