"model","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"m0",3,2759.10519116822,2779.14924350097,-1376.55259558411,2753.10519116822,NA,NA,NA
"m0_pop",5,2691.88726909755,2725.29402298547,-1340.94363454878,2681.88726909755,71.2179220706648,2,3.42945190027972e-16
"m1",9,1906.10034303642,1966.23250003467,-944.050171518212,1888.10034303642,793.786926061128,4,1.70265205366975e-170
"m2",21,585.817856712459,726.126223041692,-271.908928356229,543.817856712459,1344.28248632397,12,1.42602258707859e-280
"m3",23,-3629.78660401258,-3476.11553612818,1837.89330200629,-3675.78660401258,4219.60446072504,2,0
"m4",24,-3703.16703174591,-3542.81461308393,1875.58351587296,-3751.16703174591,75.3804277333306,1,3.8821929865546e-18
