"model","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)"
"m3",23,-3629.78660401258,-3476.11553612818,1837.89330200629,-3675.78660401258,NA,NA,NA
"m4",24,-3703.16703174591,-3542.81461308393,1875.58351587296,-3751.16703174591,75.3804277333306,1,3.8821929865546e-18
"m4_arrivi_destag",24,-3703.16703174588,-3542.8146130839,1875.58351587294,-3751.16703174588,0,0,NA
