"model","AIC","BIC","logLik","singular"
"M2_base",585.817856712459,726.126223041692,-271.908928356229,FALSE
"M2_arrivi_no_lag",272.380246935743,419.369964042558,-114.190123467871,FALSE
"M2_resid_arrivi_no_lag",272.380246935709,419.369964042524,-114.190123467854,FALSE
"M3_base",-3629.78660401258,-3476.11553612818,1837.89330200629,TRUE
"M4_observed_arrivi",-3703.16703174591,-3542.81461308393,1875.58351587296,FALSE
"M4_resid_arrivi",-3703.16703174588,-3542.8146130839,1875.58351587294,FALSE
