"model","engine","term","estimate","std.error","df","statistic","p.value"
"M0_baseline","lmerTest","(Intercept)",11.9854669687972,0.151485711537104,72.9996226070611,79.1194552092233,1.67627502276518e-72
"M0_popolazione","lmerTest","(Intercept)",11.9861773755264,0.0951570846919114,72.9973723030622,125.962007078442,3.92017079703507e-87
"M0_popolazione","lmerTest","log_residenti_mean_z",1.00656492938569,0.0950725677046518,72.997853134297,10.5873329572063,2.11751456007208e-16
"M0_popolazione","lmerTest","log_residenti_dev_z",-0.00780751275579506,0.00433772262854318,5824.5101404448,-1.79991055777054,0.0719264901365224
"M1_meteo","lmerTest","(Intercept)",11.986209039136,0.0944613058597555,72.9722895524306,126.890147558744,2.43040059948675e-87
"M1_meteo","lmerTest","log_residenti_mean_z",1.01385846664481,0.0944100415472286,73.0733988016329,10.7388838097019,1.10529045360275e-16
"M1_meteo","lmerTest","log_residenti_dev_z",-0.0152606303661845,0.00409587016555857,5824.02675502575,-3.72585793722378,0.00019649482837664
"M1_meteo","lmerTest","temperatura_z",-0.104676735214675,0.00424142521585383,5821.0189683186,-24.679613546741,5.51517051030953e-128
"M1_meteo","lmerTest","log_precipitazione_z",-0.0245633398182409,0.00402838551907569,5820.99806206811,-6.09756432246258,1.14615895849569e-09
"M1_meteo","lmerTest","pressione_z",0.0147796852696974,0.00755641660685764,5853.78879893128,1.95591191415842,0.0505230272590924
"M1_meteo","lmerTest","umidit_relativa_z",-0.00757637637029597,0.00418865207971771,5821.94299254191,-1.8087862696886,0.0705357805523691
"M2_calendario","lmerTest","(Intercept)",11.9786884468303,0.096359145188132,73.8346597197354,124.312938055263,1.63759891746471e-87
"M2_calendario","lmerTest","log_residenti_mean_z",0.993750221134816,0.0960282149451891,73.0838009141345,10.3485233137159,5.72513938655893e-16
"M2_calendario","lmerTest","log_residenti_dev_z",0.014297005541326,0.004091759615848,5823.65696889099,3.49409713267406,0.000479206379935607
"M2_calendario","lmerTest","temperatura_z",0.0809202856948521,0.0165986889296295,5867.27623390935,4.87510104189045,1.11616602898371e-06
"M2_calendario","lmerTest","log_precipitazione_z",0.0142869308274852,0.00454005087763437,5819.89515639009,3.14686579788497,0.00165863681912511
"M2_calendario","lmerTest","pressione_z",0.00851142071150026,0.00729344740236302,5865.28080285117,1.16699555668868,0.2432596066987
"M2_calendario","lmerTest","umidit_relativa_z",-0.00277973822348486,0.00462641054436924,5829.47613891781,-0.600841234651787,0.547969096528233
"M2_calendario","lmerTest","sin_m1_z",0.082044420151881,0.0101391629916517,5870.15278237086,8.09183363749393,7.08409710696352e-16
"M2_calendario","lmerTest","cos_m1_z",0.180641859102372,0.0123459522285353,5867.50410937746,14.6316667810242,1.20867309168384e-47
"M2_calendario","lmerTest","sin_m2_z",0.0601479473597976,0.00406717677400167,5832.57254491769,14.7886238297477,1.30591568840388e-48
"M2_calendario","lmerTest","cos_m2_z",0.0379208803709765,0.00323711718622646,5819.12096190557,11.7143983950674,2.41318029347839e-31
"M2_calendario","lmerTest","sin_m3_z",-0.0256241890776538,0.00320263574993197,5819.16984534683,-8.0009689138698,1.4781983421259e-15
"M2_calendario","lmerTest","cos_m3_z",0.0476756517024567,0.00332571377627167,5823.11973914208,14.3354644776148,7.85921651718068e-46
"M2_calendario","lmerTest","year_factor2020",-0.04631120077934,0.0118546260713131,5819.17072924059,-3.90659313087977,9.46675424804867e-05
"M2_calendario","lmerTest","year_factor2021",-0.0348913525246402,0.0119945510310558,5824.11248567241,-2.90893360112446,0.00364035712459782
"M2_calendario","lmerTest","year_factor2022",0.00423334944200817,0.0121357039361645,5822.65638143035,0.348834271524434,0.72722634556991
"M2_calendario","lmerTest","year_factor2023",0.0241266693509537,0.0121800772649011,5819.37893869935,1.98083056668932,0.0476572838966109
"M2_calendario","lmerTest","year_factor2024",0.0868027488551861,0.0125325582306709,5820.84643882926,6.92617957623,4.78961111569654e-12
"M2_calendario","lmerTest","year_factor2025",0.023161728349384,0.0135483325028442,5821.74650365708,1.70956302884667,0.0873999975663835
"M3_dinamica","lmerTest","(Intercept)",11.9956261361348,0.00605691406930427,5891.99999975792,1980.48478133894,0
"M3_dinamica","lmerTest","log_residenti_mean_z",0.0109727384154388,0.00394377666430044,5891.99999834776,2.78229203868601,0.00541482150680378
"M3_dinamica","lmerTest","log_residenti_dev_z",0.00273245815155199,0.00255969950882788,5891.99999970456,1.06749176695479,0.285793565041244
"M3_dinamica","lmerTest","temperatura_z",0.008200902994416,0.00727431155563838,5891.99999955469,1.12737857482327,0.259628361937685
"M3_dinamica","lmerTest","log_precipitazione_z",0.012551648718912,0.00323217866002231,5891.99999982984,3.88334001277805,0.000104158818189779
"M3_dinamica","lmerTest","pressione_z",0.00447478386388698,0.00322539894484589,5891.99999954799,1.38735825874736,0.165385017718534
"M3_dinamica","lmerTest","umidit_relativa_z",-0.00703995757089792,0.0030548715397018,5891.99999971754,-2.30450199931651,0.0212290878801594
"M3_dinamica","lmerTest","sin_m1_z",-0.0235632395258,0.00436113987079483,5891.99999957528,-5.40300018433151,6.81062082018017e-08
"M3_dinamica","lmerTest","cos_m1_z",0.0311308354047588,0.00557960316522293,5891.99999966816,5.57939955278432,2.52099443511742e-08
"M3_dinamica","lmerTest","sin_m2_z",0.0111491645086728,0.00275035734771655,5891.99999978194,4.05371488106055,5.10600844967571e-05
"M3_dinamica","lmerTest","cos_m2_z",0.0500434227469536,0.00243752644638472,5891.99999980199,20.5304122222661,1.59223224410167e-90
"M3_dinamica","lmerTest","sin_m3_z",-0.0453813552222443,0.00241167291387045,5891.99999978947,-18.8173756736408,9.33755805204234e-77
"M3_dinamica","lmerTest","cos_m3_z",0.0137603874318105,0.0023754621830766,5891.99999978242,5.79272005668751,7.28354554941767e-09
"M3_dinamica","lmerTest","year_factor2020",-0.029453373465379,0.00864165267204698,5891.99999973929,-3.40830331687032,0.000658062131029687
"M3_dinamica","lmerTest","year_factor2021",-0.00218009675314736,0.00854560903741237,5891.99999981794,-0.255113093005189,0.79864465604359
"M3_dinamica","lmerTest","year_factor2022",0.00953994391736058,0.00866523837109286,5891.99999976294,1.10094419897157,0.270965918198406
"M3_dinamica","lmerTest","year_factor2023",-0.00720442362034534,0.00879462412051362,5891.99999978763,-0.819184938619592,0.41271403938596
"M3_dinamica","lmerTest","year_factor2024",0.0185795690130945,0.00899659409947793,5891.99999981109,2.06517808935858,0.0389497936827
"M3_dinamica","lmerTest","year_factor2025",-0.0682897630845005,0.00969311125384878,5891.9999997632,-7.04518511096064,2.06360338615693e-12
"M3_dinamica","lmerTest","log_kwh_lag1_z",0.818298883305556,0.0125021802101249,5891.99999983016,65.4524946491216,0
"M3_dinamica","lmerTest","log_kwh_lag12_z",0.488768842485456,0.0124474150586382,5891.99999983445,39.2666943444024,8.95932700471168e-300
"M4_turismo","lmerTest","(Intercept)",11.9891926455225,0.00629101288068994,743.861925983754,1905.76507676894,0
"M4_turismo","lmerTest","log_residenti_mean_z",0.0146077168667265,0.00482019653982821,42.9195592700919,3.03052308054789,0.00412584098093439
"M4_turismo","lmerTest","log_residenti_dev_z",0.00366228398647263,0.00266832257531224,991.311958506774,1.37250421682771,0.17021696856597
"M4_turismo","lmerTest","temperatura_z",0.0204356947224519,0.00794465594664766,312.923931392441,2.57225672951577,0.0105648028154022
"M4_turismo","lmerTest","log_precipitazione_z",0.0109562848794209,0.00323484933477837,5512.37795626005,3.38695368641383,0.000711678620537404
"M4_turismo","lmerTest","pressione_z",0.00272835031609545,0.00350415488319984,261.27510995372,0.778604373104662,0.436917369264648
"M4_turismo","lmerTest","umidit_relativa_z",-0.00563838516907002,0.00310167576932382,2967.69896508995,-1.81785124829447,0.0691876539840988
"M4_turismo","lmerTest","sin_m1_z",-0.00959508688684639,0.00488215263549455,361.536375215552,-1.96533939088417,0.0501401359403272
"M4_turismo","lmerTest","cos_m1_z",0.0437701291266108,0.00606710723055056,435.317407201847,7.21433254157911,2.42369492799509e-12
"M4_turismo","lmerTest","sin_m2_z",0.00064502075529681,0.00298553495408648,3089.8059872842,0.216048636246557,0.828964097745074
"M4_turismo","lmerTest","cos_m2_z",0.0504082403432668,0.00242156110689238,5879.80905739107,20.8164230090218,6.43813323245737e-93
