"Codice comune","Comune","Sesso","Popolazione censita al 1° gennaio","Nati vivi","Morti","Saldo naturale","Immigrati da altro comune","Emigrati per altro comune","Saldo migratorio interno","Immigrati dall'estero","Emigrati per l'estero","Saldo migratorio con l'estero","Unità in più/meno dovute a variazioni territoriali","Aggiustamento statistico","Saldo totale","Popolazione censita al 31 dicembre","Numero di famiglie al 31 dicembre","Popolazione censita al 31 dicembre residente in famiglia","Numero medio di componenti per famiglia al 31 dicembre","Numero di convivenze al 31 dicembre","Popolazione censita al 31 dicembre residente in convivenza"
"007001","Allein","Maschi","108","1","2","-1","1","3","-2","1","1","0","0","0","-3","105","","105","","","0"
"007001","Allein","Femmine","101","0","1","-1","3","1","2","0","2","-2","0","0","-1","100","","100","","","0"
"007001","Allein","Totale","209","1","3","-2","4","4","0","1","3","-2","0","0","-4","205","122","205","1.7","0","0"
"007002","Antey-Saint-André","Maschi","284","1","7","-6","8","12","-4","1","0","1","0","0","-9","275","","273","","","2"
"007002","Antey-Saint-André","Femmine","281","0","2","-2","10","12","-2","1","0","1","0","0","-3","278","","272","","","6"
"007002","Antey-Saint-André","Totale","565","1","9","-8","18","24","-6","2","0","2","0","0","-12","553","283","545","1.9","2","8"
"007003","Aosta","Maschi","15594","82","191","-109","533","446","87","123","62","61","0","-21","18","15612","","15444","","","168"
"007003","Aosta","Femmine","17504","83","240","-157","538","418","120","95","48","47","0","-30","-20","17484","","17320","","","164"
"007003","Aosta","Totale","33098","165","431","-266","1071","864","207","218","110","108","0","-51","-2","33096","16677","32764","2.0","28","332"
"007004","Arnad","Maschi","589","4","3","1","7","17","-10","6","2","4","0","2","-3","586","","581","","","5"
"007004","Arnad","Femmine","643","3","5","-2","13","21","-8","13","1","12","0","0","2","645","","638","","","7"
"007004","Arnad","Totale","1232","7","8","-1","20","38","-18","19","3","16","0","2","-1","1231","598","1219","2.0","1","12"
"007005","Arvier","Maschi","399","1","7","-6","30","15","15","0","0","0","0","0","9","408","","408","","","0"
"007005","Arvier","Femmine","407","2","8","-6","24","13","11","6","4","2","0","-1","6","413","","413","","","0"
"007005","Arvier","Totale","806","3","15","-12","54","28","26","6","4","2","0","-1","15","821","414","821","2.0","0","0"
