"Codice comune","Comune","Sesso","Popolazione censita al 1° gennaio","Nati vivi","Morti","Saldo naturale","Immigrati da altro comune","Emigrati per altro comune","Saldo migratorio interno","Immigrati dall'estero","Emigrati per l'estero","Saldo migratorio con l'estero","Unità in più/meno dovute a variazioni territoriali","Aggiustamento statistico","Saldo totale","Popolazione censita al 31 dicembre","Numero di famiglie al 31 dicembre","Popolazione censita al 31 dicembre residente in famiglia","Numero medio di componenti per famiglia al 31 dicembre","Numero di convivenze al 31 dicembre","Popolazione censita al 31 dicembre residente in convivenza"
"007001","Allein","Maschi","107","0","4","-4","6","4","2","0","0","0","0","1","-1","106","","106","","","0"
"007001","Allein","Femmine","106","0","1","-1","3","5","-2","2","0","2","0","-1","-2","104","","104","","","0"
"007001","Allein","Totale","213","0","5","-5","9","9","0","2","0","2","0","0","-3","210","115","210","1.8","0","0"
"007002","Antey-Saint-André","Maschi","290","5","6","-1","5","14","-9","2","0","2","0","-4","-12","278","","276","","","2"
"007002","Antey-Saint-André","Femmine","294","0","1","-1","8","11","-3","2","0","2","0","-5","-7","287","","284","","","3"
"007002","Antey-Saint-André","Totale","584","5","7","-2","13","25","-12","4","0","4","0","-9","-19","565","284","560","2.0","2","5"
"007003","Aosta","Maschi","15981","117","188","-71","516","532","-16","92","34","58","0","-93","-122","15859","","15683","","","176"
"007003","Aosta","Femmine","18188","106","216","-110","548","519","29","102","31","71","0","-121","-131","18057","","17863","","","194"
"007003","Aosta","Totale","34169","223","404","-181","1064","1051","13","194","65","129","0","-214","-253","33916","16510","33546","2.0","36","370"
"007004","Arnad","Maschi","602","4","7","-3","13","18","-5","2","3","-1","0","0","-9","593","","588","","","5"
"007004","Arnad","Femmine","653","5","12","-7","19","14","5","3","4","-1","0","2","-1","652","","644","","","8"
"007004","Arnad","Totale","1255","9","19","-10","32","32","0","5","7","-2","0","2","-10","1245","598","1232","2.1","1","13"
"007005","Arvier","Maschi","435","4","4","0","11","15","-4","3","3","0","0","0","-4","431","","431","","","0"
"007005","Arvier","Femmine","444","7","5","2","12","17","-5","1","2","-1","0","-1","-5","439","","439","","","0"
"007005","Arvier","Totale","879","11","9","2","23","32","-9","4","5","-1","0","-1","-9","870","408","870","2.1","0","0"
"007006","Avise","Maschi","148","0","2","-2","2","0","2","0","0","0","0","0","0","148","","148","","","0"
"007006","Avise","Femmine","162","0","2","-2","1","2","-1","0","1","-1","0","0","-4","158","","158","","","0"
"007006","Avise","Totale","310","0","4","-4","3","2","1","0","1","-1","0","0","-4","306","141","306","2.2","0","0"
"007007","Ayas","Maschi","698","7","7","0","17","9","8","1","6","-5","0","0","3","701","","701","","","0"
"007007","Ayas","Femmine","681","7","4","3","15","7","8","4","5","-1","0","1","11","692","","692","","","0"
"007007","Ayas","Totale","1379","14","11","3","32","16","16","5","11","-6","0","1","14","1393","670","1393","2.1","0","0"
"007008","Aymavilles","Maschi","1006","10","11","-1","51","37","14","3","2","1","0","3","17","1023","","1022","","","1"
"007008","Aymavilles","Femmine","1055","8","10","-2","61","31","30","7","5","2","0","-4","26","1081","","1075","","","6"
"007008","Aymavilles","Totale","2061","18","21","-3","112","68","44","10","7","3","0","-1","43","2104","964","2097","2.2","1","7"
"007009","Bard","Maschi","54","0","2","-2","6","3","3","0","0","0","0","0","1","55","","55","","","0"
"007009","Bard","Femmine","67","0","0","0","4","3","1","0","0","0","0","-1","0","67","","67","","","0"
"007009","Bard","Totale","121","0","2","-2","10","6","4","0","0","0","0","-1","1","122","59","122","2.0","0","0"
"007010","Bionaz","Maschi","121","0","2","-2","2","5","-3","0","0","0","0","0","-5","116","","116","","","0"
"007010","Bionaz","Femmine","108","1","0","1","1","2","-1","1","0","1","0","0","1","109","","109","","","0"
"007010","Bionaz","Totale","229","1","2","-1","3","7","-4","1","0","1","0","0","-4","225","123","225","1.8","0","0"
"007011","Brissogne","Maschi","500","3","4","-1","23","35","-12","2","1","1","0","0","-12","488","","455","","","33"
"007011","Brissogne","Femmine","463","4","4","0","20","19","1","2","5","-3","0","-1","-3","460","","456","","","4"
"007011","Brissogne","Totale","963","7","8","-1","43","54","-11","4","6","-2","0","-1","-15","948","415","911","2.2","2","37"
"007012","Brusson","Maschi","445","1","5","-4","12","18","-6","1","1","0","0","-1","-11","434","","420","","","14"
"007012","Brusson","Femmine","470","3","8","-5","8","25","-17","1","0","1","0","0","-21","449","","445","","","4"
"007012","Brusson","Totale","915","4","13","-9","20","43","-23","2","1","1","0","-1","-32","883","429","865","2.0","3","18"
"007013","Challand-Saint-Anselme","Maschi","378","3","5","-2","8","5","3","3","2","1","0","-1","1","379","","379","","","0"
"007013","Challand-Saint-Anselme","Femmine","384","2","6","-4","9","8","1","1","2","-1","0","-1","-5","379","","373","","","6"
"007013","Challand-Saint-Anselme","Totale","762","5","11","-6","17","13","4","4","4","0","0","-2","-4","758","353","752","2.1","1","6"
"007014","Challand-Saint-Victor","Maschi","276","3","4","-1","3","9","-6","0","1","-1","0","-1","-9","267","","267","","","0"
"007014","Challand-Saint-Victor","Femmine","293","1","2","-1","0","9","-9","0","2","-2","0","0","-12","281","","281","","","0"
"007014","Challand-Saint-Victor","Totale","569","4","6","-2","3","18","-15","0","3","-3","0","-1","-21","548","284","548","1.9","0","0"
"007015","Chambave","Maschi","478","3","3","0","15","22","-7","0","4","-4","0","-5","-16","462","","462","","","0"
"007015","Chambave","Femmine","464","0","8","-8","22","23","-1","3","0","3","0","-1","-7","457","","457","","","0"
"007015","Chambave","Totale","942","3","11","-8","37","45","-8","3","4","-1","0","-6","-23","919","456","919","2.0","0","0"
