"Codice comune","Comune","Sesso","Popolazione censita al 1° gennaio","Nati vivi","Morti","Saldo naturale","Immigrati da altro comune","Emigrati per altro comune","Saldo migratorio interno","Immigrati dall'estero","Emigrati per l'estero","Saldo migratorio con l'estero","Unità in più/meno dovute a variazioni territoriali","Aggiustamento statistico","Saldo totale","Popolazione censita al 31 dicembre","Numero di famiglie al 31 dicembre","Popolazione censita al 31 dicembre residente in famiglia","Numero medio di componenti per famiglia al 31 dicembre","Numero di convivenze al 31 dicembre","Popolazione censita al 31 dicembre residente in convivenza"
"007001","Allein","Maschi","103","1","1","0","4","3","1","0","0","0","0","0","1","104","","104","","","0"
"007001","Allein","Femmine","108","0","5","-5","8","6","2","0","1","-1","0","0","-4","104","","104","","","0"
"007001","Allein","Totale","211","1","6","-5","12","9","3","0","1","-1","0","0","-3","208","120","208","1.7","0","0"
"007002","Antey-Saint-André","Maschi","266","2","3","-1","7","6","1","1","1","0","0","0","0","266","","265","","","1"
"007002","Antey-Saint-André","Femmine","276","2","7","-5","10","9","1","1","0","1","0","0","-3","273","","272","","","1"
"007002","Antey-Saint-André","Totale","542","4","10","-6","17","15","2","2","1","1","0","0","-3","539","272","537","2.0","2","2"
"007003","Aosta","Maschi","15615","108","214","-106","530","452","78","107","53","54","0","-12","14","15629","","15487","","","142"
"007003","Aosta","Femmine","17608","91","249","-158","492","478","14","119","54","65","0","-4","-83","17525","","17349","","","176"
"007003","Aosta","Totale","33223","199","463","-264","1022","930","92","226","107","119","0","-16","-69","33154","16571","32836","2.0","30","318"
"007004","Arnad","Maschi","591","4","9","-5","11","11","0","2","3","-1","0","1","-5","586","","581","","","5"
"007004","Arnad","Femmine","658","5","8","-3","12","21","-9","1","2","-1","0","1","-12","646","","639","","","7"
"007004","Arnad","Totale","1249","9","17","-8","23","32","-9","3","5","-2","0","2","-17","1232","590","1220","2.1","1","12"
"007005","Arvier","Maschi","415","2","3","-1","12","20","-8","2","1","1","0","-2","-10","405","","405","","","0"
"007005","Arvier","Femmine","418","7","5","2","16","16","0","0","4","-4","0","-1","-3","415","","415","","","0"
"007005","Arvier","Totale","833","9","8","1","28","36","-8","2","5","-3","0","-3","-13","820","404","820","2.0","0","0"
"007006","Avise","Maschi","144","1","1","0","8","8","0","0","0","0","0","0","0","144","","144","","","0"
"007006","Avise","Femmine","155","0","2","-2","9","5","4","0","0","0","0","0","2","157","","157","","","0"
"007006","Avise","Totale","299","1","3","-2","17","13","4","0","0","0","0","0","2","301","135","301","2.2","0","0"
"007007","Ayas","Maschi","683","4","9","-5","23","21","2","3","2","1","0","4","2","685","","685","","","0"
"007007","Ayas","Femmine","676","10","8","2","18","19","-1","5","3","2","0","0","3","679","","679","","","0"
"007007","Ayas","Totale","1359","14","17","-3","41","40","1","8","5","3","0","4","5","1364","666","1364","2.0","0","0"
"007008","Aymavilles","Maschi","1036","7","13","-6","48","56","-8","10","0","10","0","-1","-5","1031","","1030","","","1"
"007008","Aymavilles","Femmine","1078","10","11","-1","38","52","-14","6","1","5","0","-1","-11","1067","","1057","","","10"
"007008","Aymavilles","Totale","2114","17","24","-7","86","108","-22","16","1","15","0","-2","-16","2098","990","2087","2.1","1","11"
"007009","Bard","Maschi","49","0","0","0","1","2","-1","0","0","0","0","0","-1","48","","48","","","0"
"007009","Bard","Femmine","59","0","1","-1","2","0","2","0","0","0","0","0","1","60","","60","","","0"
"007009","Bard","Totale","108","0","1","-1","3","2","1","0","0","0","0","0","0","108","54","108","2.0","0","0"
"007010","Bionaz","Maschi","114","0","0","0","3","2","1","1","0","1","0","0","2","116","","116","","","0"
"007010","Bionaz","Femmine","104","1","1","0","2","1","1","0","0","0","0","0","1","105","","105","","","0"
"007010","Bionaz","Totale","218","1","1","0","5","3","2","1","0","1","0","0","3","221","117","221","1.9","0","0"
"007011","Brissogne","Maschi","490","3","2","1","29","24","5","6","2","4","0","2","12","502","","465","","","37"
"007011","Brissogne","Femmine","458","5","3","2","14","16","-2","6","1","5","0","0","5","463","","462","","","1"
"007011","Brissogne","Totale","948","8","5","3","43","40","3","12","3","9","0","2","17","965","427","927","2.2","2","38"
"007012","Brusson","Maschi","422","3","8","-5","14","11","3","0","1","-1","0","-1","-4","418","","404","","","14"
"007012","Brusson","Femmine","439","2","9","-7","18","18","0","0","0","0","0","-2","-9","430","","424","","","6"
"007012","Brusson","Totale","861","5","17","-12","32","29","3","0","1","-1","0","-3","-13","848","427","828","1.9","3","20"
"007013","Challand-Saint-Anselme","Maschi","369","2","5","-3","17","12","5","2","0","2","0","-2","2","371","","371","","","0"
