"Codice comune","Comune","Sesso","Popolazione censita al 1° gennaio","Nati vivi","Morti","Saldo naturale","Immigrati da altro comune","Emigrati per altro comune","Saldo migratorio interno","Immigrati dall'estero","Emigrati per l'estero","Saldo migratorio con l'estero","Unità in più/meno dovute a variazioni territoriali","Aggiustamento statistico","Saldo totale","Popolazione censita al 31 dicembre","Numero di famiglie al 31 dicembre","Popolazione censita al 31 dicembre residente in famiglia","Numero medio di componenti per famiglia al 31 dicembre","Numero di convivenze al 31 dicembre","Popolazione censita al 31 dicembre residente in convivenza"
"007001","Allein","Maschi","103","0","1","-1","5","5","0","1","0","1","0","0","0","103","","103","","","0"
"007001","Allein","Femmine","105","0","3","-3","6","1","5","1","0","1","0","0","3","108","","108","","","0"
"007001","Allein","Totale","208","0","4","-4","11","6","5","2","0","2","0","0","3","211","123","211","1.7","0","0"
"007002","Antey-Saint-André","Maschi","268","1","8","-7","7","3","4","0","0","0","0","1","-2","266","","264","","","2"
"007002","Antey-Saint-André","Femmine","278","0","4","-4","5","4","1","1","0","1","0","0","-2","276","","273","","","3"
"007002","Antey-Saint-André","Totale","546","1","12","-11","12","7","5","1","0","1","0","1","-4","542","277","537","1.9","2","5"
"007003","Aosta","Maschi","15705","91","213","-122","535","485","50","85","55","30","0","-48","-90","15615","","15486","","","129"
"007003","Aosta","Femmine","17818","83","261","-178","501","495","6","95","65","30","0","-68","-210","17608","","17439","","","169"
"007003","Aosta","Totale","33523","174","474","-300","1036","980","56","180","120","60","0","-116","-300","33223","16503","32925","2.0","30","298"
"007004","Arnad","Maschi","583","5","10","-5","21","12","9","1","0","1","0","3","8","591","","586","","","5"
"007004","Arnad","Femmine","644","7","7","0","26","14","12","1","0","1","0","1","14","658","","651","","","7"
"007004","Arnad","Totale","1227","12","17","-5","47","26","21","2","0","2","0","4","22","1249","599","1237","2.1","1","12"
"007005","Arvier","Maschi","422","4","5","-1","12","15","-3","1","1","0","0","-3","-7","415","","415","","","0"
"007005","Arvier","Femmine","430","4","5","-1","3","13","-10","2","4","-2","0","1","-12","418","","418","","","0"
"007005","Arvier","Totale","852","8","10","-2","15","28","-13","3","5","-2","0","-2","-19","833","409","833","2.0","0","0"
"007006","Avise","Maschi","144","0","2","-2","3","1","2","1","0","1","0","-1","0","144","","144","","","0"
"007006","Avise","Femmine","154","3","2","1","2","1","1","0","0","0","0","-1","1","155","","155","","","0"
"007006","Avise","Totale","298","3","4","-1","5","2","3","1","0","1","0","-2","1","299","138","299","2.2","0","0"
"007007","Ayas","Maschi","699","14","10","4","11","20","-9","2","1","1","0","-12","-16","683","","683","","","0"
"007007","Ayas","Femmine","700","6","6","0","8","17","-9","4","2","2","0","-17","-24","676","","676","","","0"
"007007","Ayas","Totale","1399","20","16","4","19","37","-18","6","3","3","0","-29","-40","1359","661","1359","2.1","0","0"
"007008","Aymavilles","Maschi","1022","13","6","7","55","52","3","2","1","1","0","3","14","1036","","1034","","","2"
"007008","Aymavilles","Femmine","1076","4","8","-4","52","41","11","3","6","-3","0","-2","2","1078","","1072","","","6"
"007008","Aymavilles","Totale","2098","17","14","3","107","93","14","5","7","-2","0","1","16","2114","985","2106","2.1","1","8"
"007009","Bard","Maschi","49","0","0","0","0","0","0","0","0","0","0","0","0","49","","49","","","0"
"007009","Bard","Femmine","63","0","3","-3","0","1","-1","0","0","0","0","0","-4","59","","59","","","0"
"007009","Bard","Totale","112","0","3","-3","0","1","-1","0","0","0","0","0","-4","108","54","108","2.0","0","0"
"007010","Bionaz","Maschi","113","0","1","-1","2","1","1","1","0","1","0","0","1","114","","114","","","0"
"007010","Bionaz","Femmine","105","1","2","-1","1","1","0","0","0","0","0","0","-1","104","","104","","","0"
"007010","Bionaz","Totale","218","1","3","-2","3","2","1","1","0","1","0","0","0","218","115","218","1.9","0","0"
"007011","Brissogne","Maschi","484","4","3","1","33","30","3","2","1","1","0","1","6","490","","460","","","30"
"007011","Brissogne","Femmine","458","3","5","-2","21","19","2","0","0","0","0","0","0","458","","458","","","0"
"007011","Brissogne","Totale","942","7","8","-1","54","49","5","2","1","1","0","1","6","948","416","918","2.2","2","30"
"007012","Brusson","Maschi","423","1","5","-4","15","11","4","3","4","-1","0","0","-1","422","","409","","","13"
"007012","Brusson","Femmine","440","1","7","-6","17","10","7","5","7","-2","0","0","-1","439","","435","","","4"
"007012","Brusson","Totale","863","2","12","-10","32","21","11","8","11","-3","0","0","-2","861","424","844","2.0","3","17"
"007013","Challand-Saint-Anselme","Maschi","359","11","6","5","12","12","0","4","1","3","0","2","10","369","","369","","","0"
"007013","Challand-Saint-Anselme","Femmine","377","3","7","-4","8","11","-3","3","0","3","0","0","-4","373","","369","","","4"
"007013","Challand-Saint-Anselme","Totale","736","14","13","1","20","23","-3","7","1","6","0","2","6","742","353","738","2.1","1","4"
"007014","Challand-Saint-Victor","Maschi","267","2","5","-3","18","16","2","1","0","1","0","-1","-1","266","","266","","","0"
"007014","Challand-Saint-Victor","Femmine","269","0","2","-2","22","11","11","3","0","3","0","0","12","281","","281","","","0"
"007014","Challand-Saint-Victor","Totale","536","2","7","-5","40","27","13","4","0","4","0","-1","11","547","283","547","1.9","0","0"
"007015","Chambave","Maschi","431","3","8","-5","20","12","8","4","1","3","0","-1","5","436","","436","","","0"
"007015","Chambave","Femmine","441","1","5","-4","19","9","10","5","2","3","0","0","9","450","","450","","","0"
"007015","Chambave","Totale","872","4","13","-9","39","21","18","9","3","6","0","-1","14","886","447","886","2.0","0","0"
"007016","Chamois","Maschi","61","0","2","-2","6","5","1","0","0","0","0","0","-1","60","","60","","","0"
"007016","Chamois","Femmine","47","0","0","0","4","2","2","0","0","0","0","0","2","49","","49","","","0"
"007016","Chamois","Totale","108","0","2","-2","10","7","3","0","0","0","0","0","1","109","69","109","1.6","0","0"
"007017","Champdepraz","Maschi","334","0","3","-3","17","11","6","2","0","2","0","-1","4","338","","338","","","0"
"007017","Champdepraz","Femmine","366","3","0","3","20","8","12","0","2","-2","0","0","13","379","","379","","","0"
"007017","Champdepraz","Totale","700","3","3","0","37","19","18","2","2","0","0","-1","17","717","355","717","2.0","0","0"
"007018","Champorcher","Maschi","193","0","5","-5","6","5","1","3","1","2","0","-2","-4","189","","189","","","0"
"007018","Champorcher","Femmine","187","0","1","-1","5","4","1","1","1","0","0","-2","-2","185","","185","","","0"
"007018","Champorcher","Totale","380","0","6","-6","11","9","2","4","2","2","0","-4","-6","374","229","374","1.6","0","0"
"007019","Charvensod","Maschi","1160","6","9","-3","46","50","-4","1","3","-2","0","7","-2","1158","","1156","","","2"
"007019","Charvensod","Femmine","1217","6","6","0","51","50","1","2","7","-5","0","-4","-8","1209","","1207","","","2"
"007019","Charvensod","Totale","2377","12","15","-3","97","100","-3","3","10","-7","0","3","-10","2367","1113","2363","2.1","1","4"
"007020","Châtillon","Maschi","2153","10","28","-18","69","71","-2","5","3","2","0","4","-14","2139","","2105","","","34"
"007020","Châtillon","Femmine","2297","13","34","-21","57","78","-21","7","12","-5","0","13","-34","2263","","2251","","","12"
"007020","Châtillon","Totale","4450","23","62","-39","126","149","-23","12","15","-3","0","17","-48","4402","2160","4356","2.0","7","46"
"007021","Cogne","Maschi","675","2","15","-13","14","18","-4","4","1","3","0","-8","-22","653","","648","","","5"
"007021","Cogne","Femmine","668","1","9","-8","20","10","10","2","2","0","0","-8","-6","662","","662","","","0"
"007021","Cogne","Totale","1343","3","24","-21","34","28","6","6","3","3","0","-16","-28","1315","704","1310","1.9","1","5"
"007022","Courmayeur","Maschi","1387","2","16","-14","40","67","-27","2","4","-2","0","-38","-81","1306","","1305","","","1"
"007022","Courmayeur","Femmine","1347","6","14","-8","43","65","-22","8","5","3","0","-11","-38","1309","","1309","","","0"
"007022","Courmayeur","Totale","2734","8","30","-22","83","132","-49","10","9","1","0","-49","-119","2615","1371","2614","1.9","1","1"
"007023","Donnas","Maschi","1173","5","20","-15","35","35","0","4","2","2","0","4","-9","1164","","1157","","","7"
"007023","Donnas","Femmine","1232","3","29","-26","47","34","13","5","10","-5","0","11","-7","1225","","1214","","","11"
