"Codice comune","Comune","Sesso","Popolazione censita al 1° gennaio","Nati vivi","Morti","Saldo naturale","Immigrati da altro comune","Emigrati per altro comune","Saldo migratorio interno","Immigrati dall'estero","Emigrati per l'estero","Saldo migratorio con l'estero","Unità in più/meno dovute a variazioni territoriali","Aggiustamento statistico","Saldo totale","Popolazione censita al 31 dicembre","Numero di famiglie al 31 dicembre","Popolazione censita al 31 dicembre residente in famiglia","Numero medio di componenti per famiglia al 31 dicembre","Numero di convivenze al 31 dicembre","Popolazione censita al 31 dicembre residente in convivenza"
"007001","Allein","Maschi","106","0","4","-4","7","5","2","0","0","0","0","-1","-3","103","","103","","","0"
"007001","Allein","Femmine","104","0","3","-3","6","2","4","1","1","0","0","0","1","105","","105","","","0"
"007001","Allein","Totale","210","0","7","-7","13","7","6","1","1","0","0","-1","-2","208","117","208","1.8","0","0"
"007002","Antey-Saint-André","Maschi","278","1","3","-2","10","13","-3","1","0","1","0","-6","-10","268","","266","","","2"
"007002","Antey-Saint-André","Femmine","287","1","2","-1","7","10","-3","1","0","1","0","-6","-9","278","","276","","","2"
"007002","Antey-Saint-André","Totale","565","2","5","-3","17","23","-6","2","0","2","0","-12","-19","546","278","542","2.0","2","4"
"007003","Aosta","Maschi","15859","91","254","-163","464","432","32","57","61","-4","0","-19","-154","15705","","15560","","","145"
"007003","Aosta","Femmine","18057","95","302","-207","471","469","2","60","59","1","0","-35","-239","17818","","17642","","","176"
"007003","Aosta","Totale","33916","186","556","-370","935","901","34","117","120","-3","0","-54","-393","33523","16572","33202","2.0","35","321"
"007004","Arnad","Maschi","593","7","11","-4","15","16","-1","3","2","1","0","-6","-10","583","","577","","","6"
"007004","Arnad","Femmine","652","5","8","-3","13","17","-4","5","2","3","0","-4","-8","644","","636","","","8"
"007004","Arnad","Totale","1245","12","19","-7","28","33","-5","8","4","4","0","-10","-18","1227","592","1213","2.0","1","14"
"007005","Arvier","Maschi","431","2","7","-5","15","14","1","3","4","-1","0","-4","-9","422","","422","","","0"
"007005","Arvier","Femmine","439","1","5","-4","17","15","2","0","4","-4","0","-3","-9","430","","430","","","0"
"007005","Arvier","Totale","870","3","12","-9","32","29","3","3","8","-5","0","-7","-18","852","413","852","2.1","0","0"
"007006","Avise","Maschi","148","1","0","1","1","4","-3","0","0","0","0","-2","-4","144","","144","","","0"
"007006","Avise","Femmine","158","0","2","-2","2","3","-1","0","0","0","0","-1","-4","154","","154","","","0"
"007006","Avise","Totale","306","1","2","-1","3","7","-4","0","0","0","0","-3","-8","298","140","298","2.1","0","0"
"007007","Ayas","Maschi","701","4","11","-7","20","13","7","3","4","-1","0","-1","-2","699","","699","","","0"
"007007","Ayas","Femmine","692","10","5","5","19","13","6","1","6","-5","0","2","8","700","","700","","","0"
"007007","Ayas","Totale","1393","14","16","-2","39","26","13","4","10","-6","0","1","6","1399","683","1399","2.0","0","0"
"007008","Aymavilles","Maschi","1023","9","7","2","38","37","1","4","7","-3","0","-1","-1","1022","","1020","","","2"
"007008","Aymavilles","Femmine","1081","7","14","-7","39","35","4","2","5","-3","0","1","-5","1076","","1073","","","3"
"007008","Aymavilles","Totale","2104","16","21","-5","77","72","5","6","12","-6","0","0","-6","2098","975","2093","2.2","1","5"
"007009","Bard","Maschi","55","0","2","-2","1","4","-3","0","0","0","0","-1","-6","49","","49","","","0"
"007009","Bard","Femmine","67","1","0","1","2","6","-4","0","0","0","0","-1","-4","63","","63","","","0"
"007009","Bard","Totale","122","1","2","-1","3","10","-7","0","0","0","0","-2","-10","112","57","112","2.0","0","0"
"007010","Bionaz","Maschi","116","0","3","-3","3","2","1","0","0","0","0","-1","-3","113","","113","","","0"
"007010","Bionaz","Femmine","109","0","3","-3","1","0","1","0","0","0","0","-2","-4","105","","105","","","0"
"007010","Bionaz","Totale","225","0","6","-6","4","2","2","0","0","0","0","-3","-7","218","115","218","1.9","0","0"
"007011","Brissogne","Maschi","488","3","3","0","17","20","-3","0","0","0","0","-1","-4","484","","457","","","27"
"007011","Brissogne","Femmine","460","7","4","3","13","17","-4","1","1","0","0","-1","-2","458","","458","","","0"
"007011","Brissogne","Totale","948","10","7","3","30","37","-7","1","1","0","0","-2","-6","942","413","915","2.2","2","27"
"007012","Brusson","Maschi","434","3","7","-4","13","13","0","3","0","3","0","-10","-11","423","","411","","","12"
"007012","Brusson","Femmine","449","1","8","-7","15","10","5","4","0","4","0","-11","-9","440","","435","","","5"
"007012","Brusson","Totale","883","4","15","-11","28","23","5","7","0","7","0","-21","-20","863","423","846","2.0","3","17"
"007013","Challand-Saint-Anselme","Maschi","379","2","3","-1","12","14","-2","0","2","-2","0","-15","-20","359","","359","","","0"
"007013","Challand-Saint-Anselme","Femmine","379","4","3","1","16","7","9","0","0","0","0","-12","-2","377","","372","","","5"
"007013","Challand-Saint-Anselme","Totale","758","6","6","0","28","21","7","0","2","-2","0","-27","-22","736","351","731","2.1","1","5"
"007014","Challand-Saint-Victor","Maschi","267","1","5","-4","17","6","11","2","3","-1","0","-6","0","267","","267","","","0"
"007014","Challand-Saint-Victor","Femmine","281","1","5","-4","7","4","3","0","0","0","0","-11","-12","269","","269","","","0"
"007014","Challand-Saint-Victor","Totale","548","2","10","-8","24","10","14","2","3","-1","0","-17","-12","536","280","536","1.9","0","0"
"007015","Chambave","Maschi","462","2","14","-12","14","23","-9","2","4","-2","0","-8","-31","431","","431","","","0"
"007015","Chambave","Femmine","457","5","5","0","13","16","-3","2","8","-6","0","-7","-16","441","","441","","","0"
"007015","Chambave","Totale","919","7","19","-12","27","39","-12","4","12","-8","0","-15","-47","872","442","872","2.0","0","0"
"007016","Chamois","Maschi","57","0","0","0","7","2","5","0","0","0","0","-1","4","61","","61","","","0"
"007016","Chamois","Femmine","41","0","0","0","7","0","7","0","0","0","0","-1","6","47","","47","","","0"
"007016","Chamois","Totale","98","0","0","0","14","2","12","0","0","0","0","-2","10","108","71","108","1.5","0","0"
"007017","Champdepraz","Maschi","343","1","7","-6","17","18","-1","1","0","1","0","-3","-9","334","","334","","","0"
"007017","Champdepraz","Femmine","371","2","3","-1","19","20","-1","1","1","0","0","-3","-5","366","","366","","","0"
"007017","Champdepraz","Totale","714","3","10","-7","36","38","-2","2","1","1","0","-6","-14","700","347","700","2.0","0","0"
"007018","Champorcher","Maschi","204","0","2","-2","7","12","-5","1","0","1","0","-5","-11","193","","193","","","0"
"007018","Champorcher","Femmine","190","1","2","-1","7","5","2","1","0","1","0","-5","-3","187","","187","","","0"
"007018","Champorcher","Totale","394","1","4","-3","14","17","-3","2","0","2","0","-10","-14","380","225","380","1.7","0","0"
"007019","Charvensod","Maschi","1145","8","11","-3","50","48","2","1","3","-2","0","18","15","1160","","1159","","","1"
"007019","Charvensod","Femmine","1193","8","18","-10","66","50","16","3","1","2","0","16","24","1217","","1216","","","1"
"007019","Charvensod","Totale","2338","16","29","-13","116","98","18","4","4","0","0","34","39","2377","1121","2375","2.1","1","2"
"007020","Châtillon","Maschi","2181","17","32","-15","62","73","-11","8","14","-6","0","4","-28","2153","","2113","","","40"
"007020","Châtillon","Femmine","2343","10","28","-18","55","87","-32","9","6","3","0","1","-46","2297","","2283","","","14"
"007020","Châtillon","Totale","4524","27","60","-33","117","160","-43","17","20","-3","0","5","-74","4450","2176","4396","2.0","7","54"
"007021","Cogne","Maschi","692","2","14","-12","11","9","2","3","0","3","0","-10","-17","675","","672","","","3"
"007021","Cogne","Femmine","685","5","11","-6","12","14","-2","2","0","2","0","-11","-17","668","","668","","","0"
"007021","Cogne","Totale","1377","7","25","-18","23","23","0","5","0","5","0","-21","-34","1343","714","1340","1.9","1","3"
"007022","Courmayeur","Maschi","1381","7","15","-8","56","52","4","9","5","4","0","6","6","1387","","1386","","","1"
"007022","Courmayeur","Femmine","1380","8","17","-9","50","67","-17","11","3","8","0","-15","-33","1347","","1347","","","0"
"007022","Courmayeur","Totale","2761","15","32","-17","106","119","-13","20","8","12","0","-9","-27","2734","1444","2733","1.9","1","1"
"007023","Donnas","Maschi","1176","4","21","-17","43","29","14","2","3","-1","0","1","-3","1173","","1167","","","6"
"007023","Donnas","Femmine","1272","7","29","-22","28","39","-11","7","6","1","0","-8","-40","1232","","1220","","","12"
"007023","Donnas","Totale","2448","11","50","-39","71","68","3","9","9","0","0","-7","-43","2405","1164","2387","2.0","2","18"
"007024","Doues","Maschi","247","0","3","-3","9","6","3","0","0","0","0","-3","-3","244","","237","","","7"
"007024","Doues","Femmine","265","0","10","-10","6","2","4","0","2","-2","0","-4","-12","253","","251","","","2"
"007024","Doues","Totale","512","0","13","-13","15","8","7","0","2","-2","0","-7","-15","497","256","488","1.9","1","9"
"007025","Emarèse","Maschi","115","0","1","-1","4","8","-4","0","0","0","0","2","-3","112","","110","","","2"
"007025","Emarèse","Femmine","108","1","4","-3","4","2","2","0","0","0","0","1","0","108","","103","","","5"
"007025","Emarèse","Totale","223","1","5","-4","8","10","-2","0","0","0","0","3","-3","220","104","213","2.0","1","7"
"007026","Etroubles","Maschi","251","0","3","-3","11","4","7","1","0","1","0","-2","3","254","","254","","","0"
"007026","Etroubles","Femmine","230","1","5","-4","7","3","4","2","0","2","0","-3","-1","229","","229","","","0"
"007026","Etroubles","Totale","481","1","8","-7","18","7","11","3","0","3","0","-5","2","483","240","483","2.0","0","0"
"007027","Fénis","Maschi","865","10","12","-2","34","33","1","3","3","0","0","4","3","868","","867","","","1"
"007027","Fénis","Femmine","904","8","14","-6","42","29","13","1","6","-5","0","4","6","910","","907","","","3"
"007027","Fénis","Totale","1769","18","26","-8","76","62","14","4","9","-5","0","8","9","1778","846","1774","2.1","1","4"
"007028","Fontainemore","Maschi","228","1","1","0","6","9","-3","3","0","3","0","0","0","228","","228","","","0"
"007028","Fontainemore","Femmine","203","3","2","1","8","9","-1","3","1","2","0","0","2","205","","205","","","0"
"007028","Fontainemore","Totale","431","4","3","1","14","18","-4","6","1","5","0","0","2","433","223","433","1.9","0","0"
"007029","Gaby","Maschi","225","4","3","1","6","7","-1","2","2","0","0","-7","-7","218","","216","","","2"
"007029","Gaby","Femmine","235","0","4","-4","6","8","-2","0","2","-2","0","-8","-16","219","","217","","","2"
"007029","Gaby","Totale","460","4","7","-3","12","15","-3","2","4","-2","0","-15","-23","437","248","433","1.8","1","4"
"007030","Gignod","Maschi","859","8","12","-4","35","31","4","3","0","3","0","7","10","869","","863","","","6"
"007030","Gignod","Femmine","856","4","8","-4","30","25","5","5","4","1","0","12","14","870","","864","","","6"
"007030","Gignod","Totale","1715","12","20","-8","65","56","9","8","4","4","0","19","24","1739","806","1727","2.1","3","12"
"007031","Gressan","Maschi","1662","11","12","-1","66","57","9","4","5","-1","0","-3","4","1666","","1661","","","5"
"007031","Gressan","Femmine","1731","10","21","-11","72","66","6","4","3","1","0","-13","-17","1714","","1710","","","4"
"007031","Gressan","Totale","3393","21","33","-12","138","123","15","8","8","0","0","-16","-13","3380","1603","3371","2.1","1","9"
"007032","Gressoney-La-Trinité","Maschi","151","1","3","-2","8","6","2","0","0","0","0","-2","-2","149","","149","","","0"
"007032","Gressoney-La-Trinité","Femmine","167","3","0","3","8","3","5","0","1","-1","0","-1","6","173","","173","","","0"
