"Codice comune","Comune","Sesso","Popolazione censita al 1° gennaio","Nati vivi","Morti","Saldo naturale","Immigrati da altro comune","Emigrati per altro comune","Saldo migratorio interno","Immigrati dall'estero","Emigrati per l'estero","Saldo migratorio con l'estero","Unità in più/meno dovute a variazioni territoriali","Aggiustamento statistico","Saldo totale","Popolazione censita al 31 dicembre","Numero di famiglie al 31 dicembre","Popolazione censita al 31 dicembre residente in famiglia","Numero medio di componenti per famiglia al 31 dicembre","Numero di convivenze al 31 dicembre","Popolazione censita al 31 dicembre residente in convivenza"
"007032","Gressoney-La-Trinité","Totale","318","4","3","1","16","9","7","0","1","-1","0","-3","4","322","150","322","2.2","0","0"
"007033","Gressoney-Saint-Jean","Maschi","411","2","5","-3","18","10","8","0","0","0","0","-10","-5","406","","399","","","7"
"007033","Gressoney-Saint-Jean","Femmine","401","4","4","0","13","6","7","1","1","0","0","-10","-3","398","","398","","","0"
"007033","Gressoney-Saint-Jean","Totale","812","6","9","-3","31","16","15","1","1","0","0","-20","-8","804","395","797","2.0","2","7"
"007034","Hône","Maschi","573","6","8","-2","13","11","2","0","4","-4","0","-8","-12","561","","554","","","7"
"007034","Hône","Femmine","616","4","15","-11","15","13","2","1","2","-1","0","-13","-23","593","","590","","","3"
"007034","Hône","Totale","1189","10","23","-13","28","24","4","1","6","-5","0","-21","-35","1154","570","1144","2.0","2","10"
"007035","Introd","Maschi","332","1","2","-1","8","8","0","0","0","0","0","-5","-6","326","","324","","","2"
"007035","Introd","Femmine","329","2","6","-4","8","8","0","1","1","0","0","-5","-9","320","","315","","","5"
"007035","Introd","Totale","661","3","8","-5","16","16","0","1","1","0","0","-10","-15","646","303","639","2.1","1","7"
"007036","Issime","Maschi","199","2","3","-1","7","8","-1","1","2","-1","0","-1","-4","195","","195","","","0"
"007036","Issime","Femmine","208","1","5","-4","4","8","-4","2","3","-1","0","-1","-10","198","","198","","","0"
"007036","Issime","Totale","407","3","8","-5","11","16","-5","3","5","-2","0","-2","-14","393","216","393","1.8","0","0"
"007037","Issogne","Maschi","669","2","10","-8","19","14","5","0","1","-1","0","5","1","670","","670","","","0"
"007037","Issogne","Femmine","680","5","10","-5","11","17","-6","0","1","-1","0","9","-3","677","","677","","","0"
"007037","Issogne","Totale","1349","7","20","-13","30","31","-1","0","2","-2","0","14","-2","1347","675","1347","2.0","0","0"
"007038","Jovençan","Maschi","362","2","6","-4","20","12","8","1","2","-1","0","-7","-4","358","","358","","","0"
"007038","Jovençan","Femmine","361","2","6","-4","16","12","4","1","0","1","0","-8","-7","354","","354","","","0"
"007038","Jovençan","Totale","723","4","12","-8","36","24","12","2","2","0","0","-15","-11","712","335","712","2.1","0","0"
"007039","La Magdeleine","Maschi","64","1","3","-2","4","1","3","0","0","0","0","-1","0","64","","64","","","0"
"007039","La Magdeleine","Femmine","45","0","0","0","1","1","0","0","0","0","0","-1","-1","44","","44","","","0"
"007039","La Magdeleine","Totale","109","1","3","-2","5","2","3","0","0","0","0","-2","-1","108","64","108","1.7","0","0"
"007040","La Salle","Maschi","1012","9","11","-2","38","38","0","6","8","-2","0","10","6","1018","","1017","","","1"
"007040","La Salle","Femmine","989","5","8","-3","45","43","2","5","8","-3","0","4","0","989","","987","","","2"
"007040","La Salle","Totale","2001","14","19","-5","83","81","2","11","16","-5","0","14","6","2007","1010","2004","2.0","1","3"
"007041","La Thuile","Maschi","405","5","5","0","21","11","10","3","2","1","0","-8","3","408","","403","","","5"
"007041","La Thuile","Femmine","407","5","5","0","16","6","10","1","2","-1","0","-5","4","411","","410","","","1"
"007041","La Thuile","Totale","812","10","10","0","37","17","20","4","4","0","0","-13","7","819","427","813","1.9","3","6"
"007042","Lillianes","Maschi","212","1","2","-1","10","6","4","0","0","0","0","-2","1","213","","213","","","0"
"007042","Lillianes","Femmine","233","1","3","-2","6","2","4","0","0","0","0","-2","0","233","","233","","","0"
"007042","Lillianes","Totale","445","2","5","-3","16","8","8","0","0","0","0","-4","1","446","226","446","2.0","0","0"
"007043","Montjovet","Maschi","916","2","12","-10","24","20","4","2","3","-1","0","-22","-29","887","","886","","","1"
"007043","Montjovet","Femmine","886","4","11","-7","26","21","5","1","0","1","0","-23","-24","862","","860","","","2"
"007043","Montjovet","Totale","1802","6","23","-17","50","41","9","3","3","0","0","-45","-53","1749","823","1746","2.1","1","3"
"007044","Morgex","Maschi","1014","8","12","-4","39","27","12","4","11","-7","0","10","11","1025","","1023","","","2"
"007044","Morgex","Femmine","1082","8","18","-10","42","42","0","4","11","-7","0","7","-10","1072","","1071","","","1"
"007044","Morgex","Totale","2096","16","30","-14","81","69","12","8","22","-14","0","17","1","2097","992","2094","2.1","2","3"
"007045","Nus","Maschi","1454","13","12","1","52","48","4","5","3","2","0","11","18","1472","","1465","","","7"
"007045","Nus","Femmine","1496","9","18","-9","61","47","14","7","2","5","0","6","16","1512","","1510","","","2"
"007045","Nus","Totale","2950","22","30","-8","113","95","18","12","5","7","0","17","34","2984","1388","2975","2.1","3","9"
"007046","Ollomont","Maschi","88","0","1","-1","1","1","0","0","1","-1","0","-1","-3","85","","85","","","0"
"007046","Ollomont","Femmine","77","1","2","-1","2","2","0","0","0","0","0","0","-1","76","","76","","","0"
"007046","Ollomont","Totale","165","1","3","-2","3","3","0","0","1","-1","0","-1","-4","161","94","161","1.7","0","0"
"007047","Oyace","Maschi","120","0","1","-1","0","2","-2","0","0","0","0","-4","-7","113","","113","","","0"
"007047","Oyace","Femmine","97","1","0","1","0","0","0","0","0","0","0","-2","-1","96","","96","","","0"
"007047","Oyace","Totale","217","1","1","0","0","2","-2","0","0","0","0","-6","-8","209","101","209","2.1","0","0"
"007048","Perloz","Maschi","225","4","4","0","5","9","-4","0","0","0","0","2","-2","223","","223","","","0"
"007048","Perloz","Femmine","232","3","3","0","6","9","-3","0","1","-1","0","1","-3","229","","221","","","8"
"007048","Perloz","Totale","457","7","7","0","11","18","-7","0","1","-1","0","3","-5","452","221","444","2.0","2","8"
"007049","Pollein","Maschi","758","1","6","-5","25","29","-4","1","5","-4","0","8","-5","753","","753","","","0"
"007049","Pollein","Femmine","778","4","6","-2","20","28","-8","1","1","0","0","-1","-11","767","","767","","","0"
"007049","Pollein","Totale","1536","5","12","-7","45","57","-12","2","6","-4","0","7","-16","1520","687","1520","2.2","0","0"
"007050","Pontboset","Maschi","95","1","1","0","5","5","0","1","1","0","0","-2","-2","93","","93","","","0"
"007050","Pontboset","Femmine","78","0","1","-1","4","3","1","0","0","0","0","-1","-1","77","","77","","","0"
"007050","Pontboset","Totale","173","1","2","-1","9","8","1","1","1","0","0","-3","-3","170","91","170","1.9","0","0"
"007051","Pontey","Maschi","405","4","7","-3","15","12","3","3","1","2","0","-4","-2","403","","398","","","5"
"007051","Pontey","Femmine","396","4","7","-3","16","11","5","2","0","2","0","-5","-1","395","","388","","","7"
"007051","Pontey","Totale","801","8","14","-6","31","23","8","5","1","4","0","-9","-3","798","362","786","2.2","2","12"
"007052","Pont-Saint-Martin","Maschi","1714","6","33","-27","53","61","-8","9","1","8","0","15","-12","1702","","1696","","","6"
"007052","Pont-Saint-Martin","Femmine","1878","10","30","-20","59","67","-8","12","1","11","0","8","-9","1869","","1869","","","0"
"007052","Pont-Saint-Martin","Totale","3592","16","63","-47","112","128","-16","21","2","19","0","23","-21","3571","1693","3565","2.1","1","6"
"007053","Pré-Saint-Didier","Maschi","551","6","12","-6","20","28","-8","3","2","1","0","-6","-19","532","","529","","","3"
"007053","Pré-Saint-Didier","Femmine","480","1","8","-7","23","21","2","3","5","-2","0","-9","-16","464","","464","","","0"
"007053","Pré-Saint-Didier","Totale","1031","7","20","-13","43","49","-6","6","7","-1","0","-15","-35","996","505","993","2.0","1","3"
"007054","Quart","Maschi","2043","19","26","-7","82","81","1","3","6","-3","0","29","20","2063","","2063","","","0"
"007054","Quart","Femmine","2002","21","25","-4","90","63","27","2","7","-5","0","18","36","2038","","2029","","","9"
"007054","Quart","Totale","4045","40","51","-11","172","144","28","5","13","-8","0","47","56","4101","1871","4092","2.2","1","9"
"007055","Rhêmes-Notre-Dame","Maschi","49","0","1","-1","1","3","-2","0","0","0","0","0","-3","46","","43","","","3"
"007055","Rhêmes-Notre-Dame","Femmine","36","0","0","0","1","0","1","1","0","1","0","-1","1","37","","37","","","0"
"007055","Rhêmes-Notre-Dame","Totale","85","0","1","-1","2","3","-1","1","0","1","0","-1","-2","83","44","80","1.8","1","3"
"007056","Rhêmes-Saint-Georges","Maschi","92","0","2","-2","6","3","3","0","0","0","0","-3","-2","90","","90","","","0"
"007056","Rhêmes-Saint-Georges","Femmine","82","0","2","-2","4","0","4","0","0","0","0","-2","0","82","","82","","","0"
"007056","Rhêmes-Saint-Georges","Totale","174","0","4","-4","10","3","7","0","0","0","0","-5","-2","172","85","172","2.0","0","0"
"007057","Roisan","Maschi","522","3","6","-3","25","23","2","3","5","-2","0","-7","-10","512","","511","","","1"
"007057","Roisan","Femmine","516","6","11","-5","19","23","-4","7","0","7","0","-11","-13","503","","496","","","7"
"007057","Roisan","Totale","1038","9","17","-8","44","46","-2","10","5","5","0","-18","-23","1015","455","1007","2.2","1","8"
"007058","Saint-Christophe","Maschi","1717","14","18","-4","77","78","-1","7","3","4","0","38","37","1754","","1715","","","39"
"007058","Saint-Christophe","Femmine","1729","9","21","-12","70","87","-17","3","9","-6","0","23","-12","1717","","1712","","","5"
"007058","Saint-Christophe","Totale","3446","23","39","-16","147","165","-18","10","12","-2","0","61","25","3471","1611","3427","2.1","3","44"
"007059","Saint-Denis","Maschi","199","0","5","-5","3","6","-3","0","1","-1","0","-4","-13","186","","186","","","0"
"007059","Saint-Denis","Femmine","183","0","1","-1","6","4","2","1","2","-1","0","-3","-3","180","","180","","","0"
"007059","Saint-Denis","Totale","382","0","6","-6","9","10","-1","1","3","-2","0","-7","-16","366","178","366","2.1","0","0"
"007060","Saint-Marcel","Maschi","676","2","10","-8","30","35","-5","2","3","-1","0","-14","-28","648","","648","","","0"
"007060","Saint-Marcel","Femmine","689","2","11","-9","18","32","-14","4","2","2","0","-5","-26","663","","663","","","0"
"007060","Saint-Marcel","Totale","1365","4","21","-17","48","67","-19","6","5","1","0","-19","-54","1311","597","1311","2.2","0","0"
"007061","Saint-Nicolas","Maschi","166","2","0","2","8","4","4","1","0","1","0","-5","2","168","","168","","","0"
"007061","Saint-Nicolas","Femmine","154","0","2","-2","6","5","1","3","0","3","0","-4","-2","152","","152","","","0"
"007061","Saint-Nicolas","Totale","320","2","2","0","14","9","5","4","0","4","0","-9","0","320","160","320","2.0","0","0"
"007062","Saint-Oyen","Maschi","89","1","1","0","2","3","-1","0","1","-1","0","1","-1","88","","88","","","0"
"007062","Saint-Oyen","Femmine","110","0","1","-1","2","3","-1","0","0","0","0","-2","-4","106","","89","","","17"
"007062","Saint-Oyen","Totale","199","1","2","-1","4","6","-2","0","1","-1","0","-1","-5","194","90","177","2.0","1","17"
"007063","Saint-Pierre","Maschi","1610","6","28","-22","82","72","10","8","3","5","0","18","11","1621","","1606","","","15"
"007063","Saint-Pierre","Femmine","1585","17","17","0","72","65","7","5","6","-1","0","8","14","1599","","1592","","","7"
"007063","Saint-Pierre","Totale","3195","23","45","-22","154","137","17","13","9","4","0","26","25","3220","1534","3198","2.1","3","22"
"007064","Saint-Rhémy-en-Bosses","Maschi","175","0","1","-1","14","13","1","2","0","2","0","0","2","177","","153","","","24"
"007064","Saint-Rhémy-en-Bosses","Femmine","154","2","4","-2","5","2","3","1","0","1","0","0","2","156","","156","","","0"
"007064","Saint-Rhémy-en-Bosses","Totale","329","2","5","-3","19","15","4","3","0","3","0","0","4","333","181","309","1.7","3","24"
"007065","Saint-Vincent","Maschi","2148","15","38","-23","78","61","17","5","14","-9","0","26","11","2159","","2158","","","1"
"007065","Saint-Vincent","Femmine","2284","11","54","-43","89","63","26","10","5","5","0","34","22","2306","","2293","","","13"
"007065","Saint-Vincent","Totale","4432","26","92","-66","167","124","43","15","19","-4","0","60","33","4465","2373","4451","1.9","1","14"
"007066","Sarre","Maschi","2335","20","28","-8","93","119","-26","3","4","-1","0","10","-25","2310","","2280","","","30"
"007066","Sarre","Femmine","2482","17","32","-15","101","96","5","5","8","-3","0","14","1","2483","","2471","","","12"
"007066","Sarre","Totale","4817","37","60","-23","194","215","-21","8","12","-4","0","24","-24","4793","2221","4751","2.1","5","42"
"007067","Torgnon","Maschi","307","3","5","-2","5","9","-4","1","2","-1","0","-3","-10","297","","297","","","0"
"007067","Torgnon","Femmine","260","4","1","3","11","11","0","1","2","-1","0","-4","-2","258","","258","","","0"
"007067","Torgnon","Totale","567","7","6","1","16","20","-4","2","4","-2","0","-7","-12","555","290","555","1.9","0","0"
"007068","Valgrisenche","Maschi","112","1","1","0","3","3","0","0","0","0","0","-2","-2","110","","110","","","0"
"007068","Valgrisenche","Femmine","84","1","4","-3","5","2","3","0","1","-1","0","-1","-2","82","","82","","","0"
"007068","Valgrisenche","Totale","196","2","5","-3","8","5","3","0","1","-1","0","-3","-4","192","114","192","1.7","0","0"
"007069","Valpelline","Maschi","331","0","1","-1","8","14","-6","3","2","1","0","-6","-12","319","","317","","","2"
"007069","Valpelline","Femmine","287","2","3","-1","6","12","-6","1","1","0","0","-5","-12","275","","275","","","0"
"007069","Valpelline","Totale","618","2","4","-2","14","26","-12","4","3","1","0","-11","-24","594","304","592","2.0","1","2"
"007070","Valsavarenche","Maschi","88","0","2","-2","4","3","1","0","0","0","0","-2","-3","85","","85","","","0"
"007070","Valsavarenche","Femmine","87","0","3","-3","1","1","0","1","0","1","0","-2","-4","83","","83","","","0"
"007070","Valsavarenche","Totale","175","0","5","-5","5","4","1","1","0","1","0","-4","-7","168","105","168","1.6","0","0"
"007071","Valtournenche","Maschi","1178","3","7","-4","38","32","6","3","4","-1","0","7","8","1186","","1175","","","11"
"007071","Valtournenche","Femmine","1077","8","14","-6","45","38","7","7","6","1","0","8","10","1087","","1082","","","5"
"007071","Valtournenche","Totale","2255","11","21","-10","83","70","13","10","10","0","0","15","18","2273","1221","2257","1.8","4","16"
"007072","Verrayes","Maschi","644","6","13","-7","20","18","2","0","5","-5","0","5","-5","639","","639","","","0"
"007072","Verrayes","Femmine","620","2","5","-3","23","16","7","3","1","2","0","2","8","628","","628","","","0"
"007072","Verrayes","Totale","1264","8","18","-10","43","34","9","3","6","-3","0","7","3","1267","627","1267","2.0","0","0"
"007073","Verrès","Maschi","1269","8","18","-10","54","48","6","9","9","0","0","9","5","1274","","1258","","","16"
"007073","Verrès","Femmine","1308","6","26","-20","48","33","15","8","8","0","0","13","8","1316","","1311","","","5"
"007073","Verrès","Totale","2577","14","44","-30","102","81","21","17","17","0","0","22","13","2590","1287","2569","2.0","4","21"
"007074","Villeneuve","Maschi","670","2","4","-2","22","23","-1","3","3","0","0","-10","-13","657","","642","","","15"
"007074","Villeneuve","Femmine","589","4","9","-5","27","10","17","3","1","2","0","-13","1","590","","589","","","1"
"007074","Villeneuve","Totale","1259","6","13","-7","49","33","16","6","4","2","0","-23","-12","1247","583","1231","2.1","1","16"
