"segment","selected_family","n_obs","theta_point_ml","theta_point_itau","theta_lo","theta_hi","lambda_upper_point_ml","lambda_upper_point","lambda_upper_lo","lambda_upper_hi","lambda_upper_ci_includes_zero"
"all_comuni","gumbel",5892,1.02236586963104,1,1,1.0104340192473,0.0300986010438458,0,0,0.0142641467385,TRUE
"top10_tail_risk","gumbel",804,1.08566798060338,1.09777795915036,1.04230793930554,1.15994310785085,0.106452101416641,0.119741493805938,0.0554863387597346,0.182303604152476,FALSE
"top10_tourism_intensity","gumbel",804,1.05378561242303,1.09787503230985,1.04588002729836,1.15484600367534,0.0695199765600909,0.119846463190215,0.0598978521232931,0.17750315258256,FALSE
