"comune_key","comune_nome","n_trials95","n_succ95","p95_raw","p95_eb","p90_raw","sev95_raw","risk_score_raw","risk_score_eb","risk_rank","risk_rank_eb"
"rhemes notre dame","Rhêmes-Notre-Dame",26,4,0.153846153846154,0.125399737299225,0.368421052631579,0.977473273375191,0.289852590495414,0.27136241973991,8,1
"la thuile","La Thuile",18,4,0.222222222222222,0.136840003590894,0.323529411764706,0.979785338537248,0.323305331239346,0.267806889128983,7,2
"cogne","Cogne",8,1,0.125,0.116416415557289,0.363636363636364,0.992024435771254,0.271361534486216,0.265782204598454,12,3
"valtournenche","Valtournenche",14,2,0.142857142857143,0.119759007542395,0.354838709677419,0.98107924656372,0.27967474493287,0.264660956978284,10,4
"chamois","Chamois",4,1,0.25,0.12227281914074,0.3,0.9823519429832,0.33573519429832,0.252712526739801,6,5
"ayas","Ayas",6,2,0.333333333333333,0.132016503235039,0.272727272727273,0.983242830476837,0.383172767896169,0.252316828332277,3,6
"gressoney saint jean","Gressoney-Saint-Jean",3,1,0.333333333333333,0.123870609943274,0.285714285714286,0.990242660783981,0.387119504173636,0.250968733970098,1,7
"brusson","Brusson",3,1,0.333333333333333,0.123870609943274,0.285714285714286,0.982776175123027,0.386372855607541,0.250222085404002,2,8
"gressoney la trinite","Gressoney-La-Trinité",27,5,0.185185185185185,0.134394643913263,0.238095238095238,0.975360597318853,0.277430239626065,0.244416387799316,11,9
"champorcher","Champorcher",2,0,0,0.112659303874987,0.666666666666667,NA,0.166666666666667,0.239895214185408,15,10
"gressan","Gressan",3,1,0.333333333333333,0.123870609943274,0.25,0.964958425250297,0.375662509191696,0.239511738988158,4,11
"saint vincent","Saint-Vincent",10,2,0.2,0.125477419172336,0.210526315789474,0.974673341252333,0.280098913072602,0.23165923553462,9,12
"torgnon","Torgnon",3,1,0.333333333333333,0.123870609943274,0.166666666666667,0.974715764466316,0.355804909779965,0.219654139576426,5,13
"courmayeur","Courmayeur",16,2,0.125,0.117155333106945,0.170731707317073,0.974927880536229,0.221425714882891,0.216326681402405,13,14
"valsavarenche","Valsavarenche",24,1,0.0416666666666667,0.0989659521993539,0.162162162162162,0.975818768029866,0.16520575067686,0.202450286273107,16,15
"bard","Bard",50,5,0.1,0.109532185796956,0.112676056338028,0.976955710164602,0.190864585100967,0.197060505868989,14,16
"pre saint didier","Pré-Saint-Didier",27,1,0.037037037037037,0.0964288280460472,0.0408163265306122,0.954013236042763,0.129679479311003,0.16828414346686,17,17
"jovencan","Jovençan",1,0,0,0.114068452597811,0.222222222222222,NA,0.0555555555555556,0.129700049744133,18,18
"pollein","Pollein",8,0,0,0.105132279734885,0.173913043478261,NA,0.0434782608695652,0.111814242697241,19,19
"valgrisenche","Valgrisenche",0,0,NA,0.115529219336137,0.1,NA,0.025,0.100093992568489,20,20
"etroubles","Etroubles",0,0,NA,0.115529219336137,0,NA,0,0.0750939925684889,22,21
"issogne","Issogne",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,23,22
"saint christophe","Saint-Christophe",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,24,23
"pont saint martin","Pont-Saint-Martin",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,25,24
"quart","Quart",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,26,25
"morgex","Morgex",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,27,26
"ollomont","Ollomont",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,28,27
"pontboset","Pontboset",0,0,NA,0.115529219336137,0,NA,0,0.0750939925684889,29,28
"aosta","Aosta",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,30,29
"la magdeleine","La Magdeleine",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,31,30
"chatillon","Châtillon",0,0,NA,0.115529219336137,0,NA,0,0.0750939925684889,32,31
"saint oyen","Saint-Oyen",0,0,NA,0.115529219336137,0,NA,0,0.0750939925684889,33,32
"saint pierre","Saint-Pierre",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,34,33
"gignod","Gignod",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,35,34
"challand saint anselme","Challand-Saint-Anselme",0,0,NA,0.115529219336137,0,NA,0,0.0750939925684889,36,35
"bionaz","Bionaz",0,0,NA,0.115529219336137,0,NA,0,0.0750939925684889,37,36
"valpelline","Valpelline",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,38,37
"charvensod","Charvensod",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,41,38
"gaby","Gaby",0,0,NA,0.115529219336137,0,NA,0,0.0750939925684889,42,39
"brissogne","Brissogne",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,43,40
"fenis","Fénis",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,44,41
"montjovet","Montjovet",0,0,NA,0.115529219336137,0,NA,0,0.0750939925684889,45,42
"sarre","Sarre",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,46,43
"perloz","Perloz",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,47,44
"emarese","Emarèse",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,48,45
"la salle","La Salle",0,0,NA,0.115529219336137,0,NA,0,0.0750939925684889,49,46
"oyace","Oyace",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,50,47
"chambave","Chambave",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,51,48
"aymavilles","Aymavilles",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,52,49
"donnas","Donnas",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,53,50
"arnad","Arnad",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,54,51
"nus","Nus",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,55,52
"saint denis","Saint-Denis",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,56,53
"saint marcel","Saint-Marcel",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,57,54
"verres","Verrès",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,58,55
"introd","Introd",0,0,NA,0.115529219336137,0,NA,0,0.0750939925684889,59,56
"challand saint victor","Challand-Saint-Victor",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,60,57
"allein","Allein",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,61,58
"fontainemore","Fontainemore",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,62,59
"doues","Doues",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,63,60
"roisan","Roisan",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,64,61
"hone","Hône",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,65,62
"champdepraz","Champdepraz",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,66,63
"verrayes","Verrayes",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,67,64
"arvier","Arvier",0,0,NA,0.115529219336137,0,NA,0,0.0750939925684889,68,65
"villeneuve","Villeneuve",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,69,66
"lillianes","Lillianes",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,70,67
"pontey","Pontey",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,71,68
"issime","Issime",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,72,69
"avise","Avise",0,0,NA,0.115529219336137,NA,NA,0,0.0750939925684889,73,70
"rhemes saint georges","Rhêmes-Saint-Georges",1,0,0,0.114068452597811,0,NA,0,0.0741444941885773,40,71
"saint nicolas","Saint-Nicolas",7,0,0,0.10628834599124,0,NA,0,0.0690874248943059,39,72
"antey saint andre","Antey-Saint-André",33,0,0,0.0842570363381927,0.0196078431372549,NA,0.00490196078431373,0.059669034404139,21,73
