"scheme","w_p95","w_p90","w_sev","spearman_vs_production","rank_spearman_vs_production","top10_overlap"
"production",0.65,0.25,0.1,1,1,10
"equal",0.333333333333333,0.333333333333333,0.333333333333333,0.998550654620996,0.998550654620996,9
"tail_only",1,0,0,0.902132609139614,0.902132609139614,9
"q90_only",0,1,0,0.982450631148415,0.982450631148415,8
"severity_only",0,0,1,0.891640215262488,0.891640215262488,7
"random_simplex_mean",0.325809213723288,0.34377572349458,0.330415062782132,0.995748103773129,0.995748103773129,8.68
"random_simplex_q05",NA,NA,NA,0.986086284361563,0.986086284361563,8
"random_simplex_q95",NA,NA,NA,0.999806753949466,0.999806753949466,10
