"sample","n_obs","selected_family","logLik","AIC","BIC","lower_tail","upper_tail"
"all_comuni",5892,"gumbel",6.4913560129107,-10.9827120258214,-4.30136124823888,0,0.0300986010438458
"top10_tail_risk",804,"gumbel",14.8554268984935,-27.7108537969871,-23.0212545278081,0,0.0869905665921176
"top10_tourism_intensity",804,"gumbel",13.2305216855468,-24.4610433710936,-19.7714441019146,0,0.0653572815034009
