"family","n_obs","logLik","AIC","BIC","n_parameters","lower_tail","upper_tail"
"gumbel",5892,6.4913560129107,-10.9827120258214,-4.30136124823888,1,0,0.0300986010438458
"student_t",5892,5.04475196661131,-6.08950393322262,7.27319762194242,2,6.57556277196742e-05,6.57556277196742e-05
"clayton",5892,2.88961323633984,-3.77922647267969,2.90212430490283,1,0,0
"frank",5892,0.266892039012113,1.46621592197577,8.1475666995583,1,0,0
"gaussian",5892,0.0383519924827231,1.92329601503455,8.60464679261707,1,0,0
