rep,date,arrivals,comune_key,comune_nome,share,arrivals_comune,totale_arrivi,tourism_multiplier
1,2025-01-01,172412.075728069,antey saint andre,Antey-Saint-André,0.0134829634099685,2324.62570847826,1973,1.1782188081491436
1,2025-01-01,172412.075728069,aosta,Aosta,0.0829764782355842,14306.146849202,11669,1.2259959593111662
1,2025-01-01,172412.075728069,arnad,Arnad,0.00147304020498027,253.969919371548,214,1.186775324166112
1,2025-01-01,172412.075728069,arvier,Arvier,0.00464132327188659,800.220179430958,719,1.1129626974004978
1,2025-01-01,172412.075728069,ayas,Ayas,0.0659221211510813,11365.7697440551,9504,1.1958932811505787
1,2025-01-01,172412.075728069,aymavilles,Aymavilles,0.00388118867992133,669.163796597519,578,1.1577228314835968
1,2025-01-01,172412.075728069,bard,Bard,0.00392845670089499,677.313374209145,562,1.2051839398739235
1,2025-01-01,172412.075728069,brissogne,Brissogne,2.955549581335e-4,50.9572438235205,42,1.2132677100838214
1,2025-01-01,172412.075728069,brusson,Brusson,0.0178748455991289,3081.83923306454,2594,1.1880644691844797
1,2025-01-01,172412.075728069,challand saint anselme,Challand-Saint-Anselme,0.00374505159319574,645.692118891588,554,1.1655092398765128
1,2025-01-01,172412.075728069,challand saint victor,Challand-Saint-Victor,2.3466013798097e-4,40.4582414799341,34,1.1899482788215912
1,2025-01-01,172412.075728069,chambave,Chambave,9.1635580752115e-4,157.990806880192,129,1.2247349370557519
1,2025-01-01,172412.075728069,chamois,Chamois,0.00316863395878614,546.310758056765,473,1.1549910318324843
1,2025-01-01,172412.075728069,champdepraz,Champdepraz,0.0016411901972384999,282.961008570447,244,1.1596762646329795
1,2025-01-01,172412.075728069,champorcher,Champorcher,0.0023668553686042,408.074447049173,353,1.1560182635953908
1,2025-01-01,172412.075728069,charvensod,Charvensod,0.0131771214300201,2271.89485787058,1902,1.1944767917300632
1,2025-01-01,172412.075728069,chatillon,Châtillon,0.0196126097425223,3381.45075615281,2788,1.212858951274322
1,2025-01-01,172412.075728069,cogne,Cogne,0.047865784766708,8252.6393079811,7002,1.1786117263611968
1,2025-01-01,172412.075728069,courmayeur,Courmayeur,0.127261919421263,21941.4916885581,19330,1.1351004494856751
1,2025-01-01,172412.075728069,donnas,Donnas,0.0010539859252294,181.71990115697,157,1.1574515997259236
1,2025-01-01,172412.075728069,emarese,Emarèse,3.1528187881466e-4,54.3584031658816,45,1.2079645147973688
1,2025-01-01,172412.075728069,etroubles,Etroubles,0.00472848865287812,815.248543699336,742,1.0987177138805067
1,2025-01-01,172412.075728069,fenis,Fénis,0.00512341711678795,883.338979926126,747,1.1825153680403293
1,2025-01-01,172412.075728069,fontainemore,Fontainemore,4.1110529028537e-4,70.8795164408911,66,1.0739320672862287
1,2025-01-01,172412.075728069,gaby,Gaby,0.00446480681209079,769.786610197394,654,1.1770437464791956
1,2025-01-01,172412.075728069,gignod,Gignod,0.00381150340298152,657.149213352641,570,1.1528933567590194
1,2025-01-01,172412.075728069,gressan,Gressan,0.0497337780692401,8574.70391071679,7370,1.163460503489388
1,2025-01-01,172412.075728069,gressoney la trinite,Gressoney-La-Trinité,0.024134728576604,4161.11865102584,3674,1.1325853704479696
1,2025-01-01,172412.075728069,gressoney saint jean,Gressoney-Saint-Jean,0.0267072989169531,4604.66084336188,3835,1.2006938313851057
1,2025-01-01,172412.075728069,hone,Hône,5.4463957429243e-4,93.902439527411,82,1.1451517015537926
1,2025-01-01,172412.075728069,introd,Introd,0.0027832364992236,479.863582073264,409,1.1732605918661712
1,2025-01-01,172412.075728069,issime,Issime,7.6695207844996e-4,132.231799829515,107,1.2358112133599535
1,2025-01-01,172412.075728069,issogne,Issogne,3.087976713198e-4,53.2404474922412,46,1.1574010324400261
1,2025-01-01,172412.075728069,jovencan,Jovençan,0.00420507583896206,725.005853989398,587,1.2351036694879012
1,2025-01-01,172412.075728069,la salle,La Salle,0.0168987259584096,2913.54441964919,2436,1.196036297064528
1,2025-01-01,172412.075728069,lillianes,Lillianes,4.3612582964306e-4,75.1933595673876,69,1.0897588343099653
1,2025-01-01,172412.075728069,montjovet,Montjovet,0.00357041556414281,615.582758625664,510,1.2070250169130667
1,2025-01-01,172412.075728069,morgex,Morgex,0.00917242680455018,1581.43714483627,1335,1.1845971122369063
1,2025-01-01,172412.075728069,nus,Nus,0.0104813084823027,1807.10415178002,1505,1.2007336556677874
1,2025-01-01,172412.075728069,ollomont,Ollomont,2.4692194962861e-4,42.5723258782908,40,1.06430814695727
