rep,date,comune_key,assigned_model,model_beta,arrivals_comune,tourism_multiplier,baseline_kwh,scenario_kwh,delta_kwh_vs_baseline,delta_pct_vs_baseline
1,2025-01-01,antey saint andre,Prophet,0.04122923082459263,2324.62570847826,1.1782188081491436,192816.9520335556,194125.15013788454,1308.1981043289416,0.6784663332409124
1,2025-01-01,aosta,Mixed,0.09357170374507806,14306.146849202,1.2259959593111662,7392196.564491089,7534485.071648328,142288.5071572382,1.9248474511720959
1,2025-01-01,arnad,Mixed,0.08175485875634635,253.969919371548,1.186775324166112,346678.66786319826,351566.19281405135,4887.524950853083,1.4098141604668157
1,2025-01-01,arvier,Mixed,0.048838751134405764,800.220179430958,1.1129626974004978,154350.3628111682,155159.26352869373,808.9007175255392,0.524067908097603
1,2025-01-01,ayas,Prophet,0.20249584384304084,11365.7697440551,1.1958932811505787,2371600.2616324234,2459086.937832254,87486.6761998306,3.688930112514477
1,2025-01-01,aymavilles,Mixed,0.06223761797969346,669.163796597519,1.1577228314835968,332310.6052334255,335353.46661412047,3042.861380694958,0.9156678519355532
1,2025-01-01,bard,GAMM,0.12478336046583469,677.313374209145,1.2051839398739235,153115.93852035154,156723.63944107597,3607.7009207244264,2.356189013101928
1,2025-01-01,brissogne,Mixed,0.06492708448673729,50.9572438235205,1.2132677100838214,546994.950594989,553903.8414977944,6908.890902805375,1.2630630127920428
1,2025-01-01,brusson,Prophet,0.02307765545193696,3081.83923306454,1.1880644691844797,412995.7261833109,414641.42595093907,1645.6997676281608,0.39847864355324614
1,2025-01-01,challand saint anselme,Prophet,0.011338178589705462,645.692118891588,1.1655092398765128,128453.58180322371,128676.8396032327,223.2578000089852,0.1738042621115765
1,2025-01-01,challand saint victor,Mixed,0.05781869610950554,40.4582414799341,1.1899482788215912,92811.1450220472,93749.09112758965,937.9461055424472,1.0105964163243941
1,2025-01-01,chambave,Mixed,0.059574839747661486,157.990806880192,1.2247349370557519,154399.51985904586,156275.55137539015,1876.0315163442865,1.2150500973428846
1,2025-01-01,chamois,Prophet,0.05869969915329849,546.310758056765,1.1549910318324843,236689.73326097737,238700.19067627096,2010.457415293582,0.8494062617734333
1,2025-01-01,champdepraz,Mixed,0.037365223114740456,282.961008570447,1.1596762646329795,108643.28790106208,109246.33043531835,603.0425342562667,0.5550665355465334
1,2025-01-01,champorcher,Prophet,0.02542416628082835,408.074447049173,1.1560182635953908,284936.92781424767,285989.15353045193,1052.225716204266,0.36928373035951534
1,2025-01-01,charvensod,Mixed,0.06050116020222446,2271.89485787058,1.1944767917300632,358739.5198875952,362617.33678287675,3877.8168952815467,1.0809561479305563
1,2025-01-01,chatillon,GAMM,0.19240959337426278,3381.45075615281,1.212858951274322,1156841.0711503397,1200603.497659314,43762.426508974284,3.7829246903775537
