comune_key,date,arrivals_actual,arrivals_q95,arrivals_multiplier_q95
antey saint andre,2025-01-01,1973.0000000000007,2530.96448008838,1.282800040592184
antey saint andre,2025-02-01,2220,3567.94689613018,1.607183286545126
antey saint andre,2025-03-01,1789.0000000000002,2628.59031486832,1.4693070513517719
antey saint andre,2025-04-01,1299,1931.52044527166,1.4869287492468515
antey saint andre,2025-05-01,558.9999999999999,763.365910067825,1.3655919679209751
antey saint andre,2025-06-01,1879.0000000000005,2223.36262014417,1.1832690900181848
antey saint andre,2025-07-01,2840.000000000001,4474.62537105937,1.5755723137532989
antey saint andre,2025-08-01,3166.999999999998,5367.59226285289,1.6948507302977243
antey saint andre,2025-09-01,1073.0000000000005,2475.32592211801,2.3069207102684146
aosta,2025-01-01,11668.99999999999,15575.9911757842,1.3348179943254959
aosta,2025-02-01,11319.999999999993,18573.4433727849,1.6407635488325893
aosta,2025-03-01,10126.000000000004,14859.1769845633,1.467428104341625
aosta,2025-04-01,10393.999999999996,16138.6228574605,1.5526864400096696
aosta,2025-05-01,11917.99999999999,16366.1217925301,1.37322720192399
aosta,2025-06-01,13593.99999999999,16307.6591354252,1.199621828411447
aosta,2025-07-01,19234.00000000001,29099.6886771611,1.5129296390330187
aosta,2025-08-01,20106.00000000002,33932.760106266804,1.687693231188042
aosta,2025-09-01,13117.000000000002,30925.1396496147,2.357638152749462
arnad,2025-01-01,213.99999999999991,276.512834989285,1.2921160513517995
arnad,2025-02-01,249.9999999999999,402.968048197828,1.6118721927913129
arnad,2025-03-01,179,261.90854741128,1.4631762425211172
arnad,2025-04-01,244.0000000000001,365.83819739202397,1.4993368745574747
arnad,2025-05-01,477.99999999999983,664.364510166985,1.3898839124832327
arnad,2025-06-01,452.0000000000001,562.494025763777,1.2444558092118958
arnad,2025-07-01,550.0000000000002,874.341699236222,1.5897121804294938
arnad,2025-08-01,742,1296.2275527378,1.7469374026115903
arnad,2025-09-01,364.9999999999999,891.173987554671,2.4415725686429353
arvier,2025-01-01,719.0000000000001,871.249441578067,1.211751657271303
arvier,2025-02-01,880.0000000000003,1359.87350840812,1.5453108050092266
arvier,2025-03-01,479.99999999999994,646.158904403223,1.3461643841733815
arvier,2025-04-01,298.0000000000001,438.47525106666,1.4713934599552343
arvier,2025-05-01,381.00000000000006,522.078253934619,1.370284131061992
arvier,2025-06-01,794.0000000000001,1074.53863781682,1.353323221431763
arvier,2025-07-01,2537.9999999999995,4216.37102348918,1.6612966995623248
arvier,2025-08-01,2187.0000000000005,3883.69588817511,1.7758097339620984
arvier,2025-09-01,470,1121.08347502036,2.3852839894050213
ayas,2025-01-01,9503.999999999998,12374.6198823111,1.3020433377852592
ayas,2025-02-01,8920.000000000004,15401.7922139803,1.7266583199529477
ayas,2025-03-01,8728.000000000002,12809.6530976271,1.467650446565891
ayas,2025-04-01,2174.0000000000005,2961.27633981529,1.3621326310097928
ayas,2025-05-01,2018.0000000000007,2712.45968825992,1.3441326502774622
