comune_key,performance_metric,Prophet,GAMM,Mixed
allein,n_obs,8,8,8
allein,MAE_kwh,2246.46029867145,12308.3427586216,15796.2279663545
allein,RMSE_kwh,2910.1582374262,31114.5620591964,42483.8652958526
allein,Bias_kwh,2246.46029867145,12247.7583324786,15324.1915322502
allein,MAPE_pct,80.8967824248561,451.577331136551,580.057306882255
allein,delta_from_best_RMSE,0,28204.4038217702,39573.7070584265
allein,underperform_flag,ok,ok,high_gap
antey saint andre,n_obs,9,9,9
antey saint andre,MAE_kwh,11129.8326897176,13481.132033035,14138.2741002095
antey saint andre,RMSE_kwh,17271.4013059061,19173.3674996084,18757.9467447673
antey saint andre,Bias_kwh,4237.78374018328,12952.43849896,4209.3315666437
antey saint andre,MAPE_pct,8.6387991827387,10.694763731326,10.4139636888206
antey saint andre,delta_from_best_RMSE,0,1901.96619370232,1486.54543886115
antey saint andre,underperform_flag,ok,high_gap,ok
aosta,n_obs,9,9,9
aosta,MAE_kwh,325742.277900446,596388.599954006,298861.98335899
aosta,RMSE_kwh,474755.450311998,696460.472482493,411186.358982457
aosta,Bias_kwh,80254.4110141376,578149.315218602,157831.231900036
aosta,MAPE_pct,5.29829900116212,9.37193249863202,4.87262510368684
aosta,delta_from_best_RMSE,63569.0913295413,285274.113500037,0
aosta,underperform_flag,ok,high_gap,ok
arnad,n_obs,9,9,9
arnad,MAE_kwh,27381.2187413601,82694.4503773791,16744.146947699
arnad,RMSE_kwh,30398.160543323,84799.2102560432,21024.1286185632
arnad,Bias_kwh,-26120.1719228802,82694.4503773791,-16240.1495789408
arnad,MAPE_pct,8.37957617571763,25.7417656784151,4.94841272136586
arnad,delta_from_best_RMSE,9374.03192475979,63775.08163748,0
arnad,underperform_flag,ok,high_gap,ok
arvier,n_obs,9,9,9
arvier,MAE_kwh,17980.7433519914,7966.39091358345,8678.94273144725
arvier,RMSE_kwh,23353.1491611557,13351.4489186597,13085.8051775885
arvier,Bias_kwh,15050.4070251552,7730.24855093317,-1307.68761503152
arvier,MAPE_pct,16.8488191842276,8.18314225857525,8.00124225308501
arvier,delta_from_best_RMSE,10267.3439835672,265.64374107121,0
