mese,Bias_Percentuale_Medio,MAE_MWh
January,217.0632051875297,85.40648887638314
February,46.790218172386496,61.03746542117742
March,11.105582936296996,48.448032035927575
April,14.16461250849252,36.273677450764545
May,10.821914296314485,30.3802479080516
June,2.2520914936745844,28.2831236932586
July,0.868979926645118,32.68363299116677
August,2.4088706236256416,31.061296494269943
September,45.02330849662496,80.70662553986982
