"comune_key","n_obs","MAE_kwh","RMSE_kwh","Bias_kwh","MAPE_pct","model","best_RMSE_kwh","delta_from_best_RMSE","underperform_flag"
"torgnon","9","24322.251213310494","32823.62178183471","12657.584073430658","11.083337298372163","Mixed","32823.62178183471","0","ok"
"rhemes saint georges","9","5423.942997838144","7158.131921090153","-1004.7291493331998","11.117888442407915","Prophet","7158.131921090153","0","ok"
"roisan","9","8891.386171219956","15059.161073894094","1702.0244817993896","11.30984026207707","Mixed","15059.161073894094","0","ok"
"issime","9","6934.940734544778","8816.701732393662","-2548.1651432832855","11.411733415565369","Mixed","8701.58711480681","115.11461758685073","ok"
"verres","9","99888.47820260811","111345.04634117238","-91452.48980780359","11.54025278235928","GAMM","111345.04634117238","0","ok"
"morgex","9","111945.05246954113","137753.30651562024","96899.22274870993","12.014831477915413","Mixed","137753.30651562024","0","ok"
"emarese","9","2997.0899108177423","4725.378009742521","1192.5760493239607","13.85306707561334","Mixed","4725.378009742521","0","ok"
"lillianes","9","6335.134384818863","7103.7904768837525","-3861.500502288895","14.773439465453958","Mixed","7103.7904768837525","0","ok"
"valsavarenche","9","7000.622879020582","8299.020044936695","5161.848218892281","15.313547451822357","Prophet","8299.020044936695","0","ok"
"bard","9","28761.687652704517","41847.97146050744","-22138.028411063176","15.423576239706549","GAMM","41847.97146050744","0","ok"
"gaby","8","11853.519918007176","13823.33140913869","2679.7169653122182","15.709934016634698","Prophet","13823.33140913869","0","ok"
"gressoney saint jean","9","41560.478699512445","48031.94135035462","16452.024850394482","15.84275681895379","Prophet","46815.87278625956","1216.0685640950542","ok"
"la thuile","9","162775.16841000394","209563.26272710192","-114323.45590206186","20.96842171223083","Prophet","185653.07923573937","23910.18349136255","ok"
"rhemes notre dame","9","13582.590037492824","14894.679611157662","10156.068607494373","22.016935860191094","GAMM","14280.252922079637","614.4266890780254","ok"
"doues","9","2955.729658421848","3510.2975995801467","-2689.232484118141","23.338971204060808","GAMM","3510.2975995801467","0","ok"
"la magdeleine","9","4329.061569488897","5319.664501571614","1465.212608599105","31.100259114727578","Prophet","5054.847483681985","264.8170178896289","ok"
"saint denis","8","19392.603709918538","43409.95774289183","19205.674707638052","39.9327926919195","Mixed","19783.95735276108","23626.000390130746","high_gap"
"bionaz","9","21825.40965463965","22651.828464395476","21825.40965463965","49.233619305241355","Mixed","22651.828464395476","0","ok"
"avise","9","24418.2071143376","26633.69187273311","24418.2071143376","49.70359597493129","Prophet","26633.69187273311","0","ok"
"pont saint martin","9","435227.62380053086","438310.9645211173","435227.62380053086","59.63093599487592","Prophet","438310.9645211173","0","ok"
"valgrisenche","9","30616.890876301262","31602.63411665105","30616.890876301262","59.75304453601805","Mixed","31602.63411665105","0","ok"
"allein","8","2246.460298671451","2910.1582374262016","2246.460298671451","80.89678242485611","Prophet","2910.1582374262016","0","ok"
"valpelline","9","56777.442410913616","74356.01376284393","56777.442410913616","239.91043493443448","Prophet","73486.09021444569","869.9235483982338","high_gap"
