"comune_key","Prophet_MAPE_pct","GAMM_MAPE_pct","Mixed_MAPE_pct","Best_Model","Best_MAPE_pct","Rank"
"issime","13.3943884507049","11.8466284645173","11.4117334155654","Mixed","11.4117334155654","55"
"verres","58.158030970097","11.5402527823593","19.2898171045825","GAMM","11.5402527823593","56"
"morgex","20.9527270017068","14.437890194649","12.0148314779154","Mixed","12.0148314779154","57"
"emarese","15.4237170776665","15.6822079815075","13.8530670756133","Mixed","13.8530670756133","58"
"lillianes","19.6365921929439","15.6132983158327","14.773439465454","Mixed","14.773439465454","59"
"valsavarenche","15.3135474518224","20.7660399763498","20.2800273762427","Prophet","15.3135474518224","60"
"bard","43.8348842550634","15.4235762397065","17.2828230754323","GAMM","15.4235762397065","61"
"gaby","15.7099340166347","54.7791966932327","55.2639898588014","Prophet","15.7099340166347","62"
"gressoney saint jean","15.8427568189538","19.2179131088768","15.943933992088","Prophet","15.8427568189538","63"
"la thuile","20.9684217122308","23.237070302231","22.3404491114009","Prophet","20.9684217122308","64"
"rhemes notre dame","30.0795551662906","22.0169358601911","23.0896863223925","GAMM","22.0169358601911","65"
"doues","27.8610896966985","23.3389712040608","37.1219674470364","GAMM","23.3389712040608","66"
"la magdeleine","31.1002591147276","31.6777563140065","33.0436696582308","Prophet","31.1002591147276","67"
"saint denis","56.9895399061546","52.6363487640932","39.9327926919195","Mixed","39.9327926919195","68"
"bionaz","55.5759851248436","50.189210447948","49.2336193052414","Mixed","49.2336193052414","69"
"avise","49.7035959749313","59.9894426037223","53.5621607624296","Prophet","49.7035959749313","70"
"pont saint martin","59.6309359948759","67.6540283672579","70.3640393028447","Prophet","59.6309359948759","71"
"valgrisenche","69.4759151021997","62.8056361384779","59.7530445360181","Mixed","59.7530445360181","72"
"allein","80.8967824248561","451.577331136551","580.057306882255","Prophet","80.8967824248561","73"
"valpelline","239.910434934434","251.518342111704","241.623155068942","Prophet","239.910434934434","74"
