comune_key,GAM,LM,MixedModel,QuantileGBM,RF,XGB
antey saint andre,0.12100688197893027,0.09229148167185296,0.11183789793658479,0.10376335528122471,0.10669700044313445,0.1065680204655344
aosta,0.1000003558885536,0.07068851642349058,0.09692024546076157,0.0835049939138822,0.052465922745373685,0.06808044849569823
arnad,0.1798762061105827,0.15316072424308316,0.24059758268475642,0.04882570423022551,0.06538019907060089,0.05067254610045461
arvier,0.1140964255834499,0.06132677769810103,0.08025216543541952,0.09435338065019126,0.08315234903047623,0.08034055992470898
avise,0.6166863692103245,0.6236984952087969,0.5702120913542122,0.6300258113002127,0.570644927841801,0.5761678470844668
ayas,0.08484273157053697,0.11322509936229208,0.0552863123447008,0.0613627008983856,0.07208032839646379,0.07848882150202306
aymavilles,0.12481772852615566,0.06469095471024473,0.11221209894680731,0.11869571827444038,0.09931517250607666,0.11744581046488943
bard,0.16023720791096532,0.1610214892799195,0.15895528224583508,0.17945370359788543,0.1716481994594906,0.1698165243644765
bionaz,0.5240759334870504,0.5310814872791374,0.4882299798509864,0.46277125528504903,0.4870092758858705,0.49520861122208665
brissogne,0.06048462254468886,0.04663765217573472,0.06013272279638053,0.0595129096999269,0.046194163703384666,0.052500023916723426
brusson,0.09148421166642597,0.0931464133880824,0.08697397806025749,0.11338666696156467,0.08938385334925016,0.10562934135328929
challand saint anselme,0.09817045050989073,0.08119999671560378,0.09850659355165159,0.1053100870942664,0.10405217789426807,0.09379281641336529
challand saint victor,0.12455004199471663,0.10323170512400334,0.13424744339475658,0.1364569730358905,0.1166648964270193,0.12123976434564278
chambave,0.13740800086715,0.06765409421301662,0.11061158843341078,0.10734944713864383,0.09766669055089718,0.11468115941820414
chamois,0.08517898714590885,0.06106373125531475,0.08571039596042072,0.06646674547552377,0.08439695115165823,0.08879238002144853
champdepraz,0.11497057599524341,0.09795967830999605,0.10077699520343143,0.10758871424653628,0.1073613826915496,0.09892716218883428
champorcher,0.06954133859012786,0.0984365056343574,0.07358089837495586,0.10072157191319256,0.09847914644713347,0.09082601992907786
charvensod,0.10904287850164587,0.08661499367201618,0.09835476853204173,0.11885191773935025,0.14512103400755555,0.12562006513997517
chatillon,0.1320271786208256,0.10103421611355248,0.038649458441510375,0.03176201438767878,0.22929290788344092,0.24108052259476828
cogne,0.10926348138050486,0.12145870206590301,0.09441604945573973,0.0974933702296622,0.07150416992716069,0.08127900299781632
courmayeur,0.10156871967334026,0.14198550270670757,0.09083999516095805,0.06550513903628821,0.0724630541372433,0.0741877787268814
donnas,0.09206363319399469,0.07485818980926202,0.08013370460860668,0.07702927196365722,0.0739782107175151,0.07061863158851915
doues,0.22877857793953432,0.33657623082640253,0.15886691799098698,0.16177868621960922,0.2543146197863182,0.2373624755725762
emarese,0.1767736951954159,0.15419291879850697,0.17749805979686936,0.16431276866707756,0.1696435217358557,0.17253891902345694
etroubles,0.05656648890453749,0.09657950352692611,0.10631381842601974,0.09824660070944004,0.06689373646509535,0.08548562031319222
fenis,0.08151245651745585,0.10313670396829422,0.08612208002148607,0.11544993536117294,0.11306096158060046,0.10598321780477328
fontainemore,0.0769569520701094,0.07829095874390872,0.09946100927821538,0.10419745912638512,0.09443819660832177,0.09104145839558969
gignod,0.12207679202796544,0.14312096793543566,0.07551467950601426,0.07900899226816131,0.07914275448926647,0.09380174189687135
gressan,0.11030038227508619,0.11721524330389525,0.07978812662237462,0.09793099900678891,0.11242069047001059,0.12255683909338493
gressoney la trinite,0.13818355568783502,0.09849464576683727,0.11756277103835466,0.0899667260089295,0.11254613280627693,0.09380878063396891
gressoney saint jean,0.17958234621907218,0.15485462759555813,0.19130305557405397,0.19406517746551769,0.19014793410109512,0.18712553486661715
hone,0.15325708086028997,0.12271749938657836,0.13194845850580517,0.1200413847986624,0.12224440823339487,0.12482549740783673
introd,0.11567884668217387,0.0703778837816414,0.09724248364604612,0.09793407095771763,0.10172160822749025,0.10315012541087529
issime,0.09984796647338351,0.094271241189053,0.10601100429657291,0.13919222571253548,0.13953009488629803,0.12720424816883608
issogne,0.07439628940605739,0.06248235672122342,0.07278310113916758,0.09455263708742037,0.08103562787112605,0.10121156831837212
jovencan,0.07403402820898375,0.08095502488777556,0.08694042638990701,0.0843886990381953,0.07436018364491803,0.07632227876648619
la magdeleine,0.34531870374271323,0.2987112314599273,0.3320234207969715,0.3364672796945697,0.32157653026595123,0.38888510196899984
la salle,0.0753196171691923,0.10355271134611235,0.0797977090381313,0.07145741810325046,0.09055913005285499,0.06736960488821485
la thuile,0.5717364960572445,0.6720770301737214,0.44535544750865597,0.2911776136392509,0.47848091619098415,0.3182587563695938
lillianes,0.14087546161415046,0.12383352277773349,0.15075403703321924,0.16723516628599613,0.14156525773872577,0.1471133891474927
montjovet,0.11508008486265081,0.07642115509556288,0.10235788141515055,0.11529447359509923,0.12360395912575385,0.12386180621271077
morgex,0.15609595353082906,0.14998879120960792,0.15503744868950892,0.11560122881353603,0.12117604161408195,0.13361093136468213
