model,n_obs,MAE_kwh,RMSE_kwh,Bias_kwh,MAPE_pct
Assigned_Strategy,565,27914.737983305327,68608.54370756148,2444.7003414001256,8.888410536174806
Mixed_only,565,33351.6583385331,77472.72502371013,-2409.735900197607,10.777726759335913
GAMM_only,565,40388.49622634997,107442.12837947079,23779.381137244778,11.694356811932414
Prophet_only,565,46996.980283372286,112963.95449520863,20664.756173097532,12.646707778375474
