"comune_key","Best_Model","Best_MAPE_pct","Second_Best_MAPE_pct","Worst_MAPE_pct","Spread_MAPE_pct","Mean_MAPE_pct","Std_MAPE_pct","anomaly_flag"
"valgrisenche","Mixed","59.7530445360181","62.8056361384779","69.4759151021997","9.72287056618167","64.0115319255652","4.05990077864527","normal"
"pont saint martin","Prophet","59.6309359948759","67.6540283672579","70.3640393028447","10.7331033079688","65.8830012216595","4.55721256308557","normal"
"avise","Prophet","49.7035959749313","53.5621607624296","59.9894426037223","10.285846628791","54.4183997803611","4.24260290856325","normal"
"bionaz","Mixed","49.2336193052414","50.189210447948","55.5759851248436","6.34236581960226","51.666271626011","2.79197461070361","normal"
"saint denis","Mixed","39.9327926919195","52.6363487640932","56.9895399061546","17.0567472142351","49.8528937873891","7.23619939784615","normal"
"la magdeleine","Prophet","31.1002591147276","31.6777563140065","33.0436696582308","1.9434105435032","31.940561695655","0.814866507111191","normal"
"doues","GAMM","23.3389712040608","27.8610896966985","37.1219674470364","13.7829962429756","29.4406761159319","5.73666955066787","normal"
"rhemes notre dame","GAMM","22.0169358601911","23.0896863223925","30.0795551662906","8.06261930609955","25.0620591162914","3.57483317534836","normal"
"la thuile","Prophet","20.9684217122308","22.3404491114009","23.237070302231","2.26864859000021","22.1819803752876","0.932925813939314","normal"
"gressoney saint jean","Prophet","15.8427568189538","15.943933992088","19.2179131088768","3.375156289923","17.0015346399728","1.56776047132135","normal"
"gaby","Prophet","15.7099340166347","54.7791966932327","55.2639898588014","39.5540558421667","41.9177068562229","18.5327507224722","normal"
"bard","GAMM","15.4235762397065","17.2828230754323","43.8348842550634","28.4113080153568","25.5137611900674","12.9772072617361","normal"
"valsavarenche","Prophet","15.3135474518224","20.2800273762427","20.7660399763498","5.45249252452746","18.7865382681383","2.46377771853534","normal"
"lillianes","Mixed","14.773439465454","15.6132983158327","19.6365921929439","4.86315272748989","16.6744433247435","2.1224333770738","normal"
"emarese","Mixed","13.8530670756133","15.4237170776665","15.6822079815075","1.82914090589418","14.9863307115958","0.8082570706247","normal"
"morgex","Mixed","12.0148314779154","14.437890194649","20.9527270017068","8.93789552379134","15.8018162247571","3.77418554218497","normal"
"verres","GAMM","11.5402527823593","19.2898171045825","58.158030970097","46.6177781877377","29.6627002856796","20.3961081239664","normal"
"issime","Mixed","11.4117334155654","11.8466284645173","13.3943884507049","1.98265503513955","12.2175834435958","0.850856801296374","normal"
"roisan","Mixed","11.3098402620771","14.4340845894607","16.2062649816394","4.89642471956236","13.9833966110591","2.02420082979138","normal"
"rhemes saint georges","Prophet","11.1178884424079","15.1492061317271","16.9011193934381","5.78323095103021","14.3894046558577","2.42135138167215","normal"
"torgnon","Mixed","11.0833372983722","12.6350418062052","20.8188791441053","9.73554184573314","14.8457527495609","4.27088015236592","normal"
"hone","Mixed","11.0704253642606","11.6653365701998","12.9071300138852","1.8367046496246","11.8809639827819","0.765176397214306","normal"
"champdepraz","Mixed","10.7658965934643","10.8461061811734","15.9233657762442","5.15746918277989","12.5117895169606","2.41257094184752","normal"
"nus","Mixed","10.6148127776853","10.9960573237065","11.2481826381042","0.633369860418819","10.953017579832","0.260357010898914","normal"
"pontey","Prophet","10.4053664920066","16.9830557978467","17.7247476289247","7.31938113691807","15.0377233062593","3.28953633348605","normal"
"challand saint victor","Mixed","10.3623537542642","12.6731586896539","16.0738629010843","5.71150914682006","13.0364584483341","2.3458224171983","normal"
"saint rhemy en bosses","GAMM","10.3220234998214","12.7222367807529","13.6232944782917","3.30127097847027","12.2225182529553","1.39329022427505","normal"
"ollomont","Mixed","10.2644147535336","11.1290168122674","14.6325975841231","4.36818283058946","12.008676383308","1.88866902536444","normal"
"chatillon","GAMM","10.2260606912224","10.4827919857556","15.4509383486662","5.22487765744384","12.0532636752148","2.40480389073738","normal"
"saint oyen","Mixed","9.94806669424398","10.1276538691761","13.8095114078133","3.86144471356936","11.2950773237445","1.77948437488606","normal"
"gressoney la trinite","Mixed","9.94511345584782","13.9756403726333","14.9244505169997","4.97933706115192","12.9484014484936","2.1586823523608","normal"
"courmayeur","GAMM","9.72987670095408","11.3733681990859","12.0345357565984","2.30465905564428","11.0459268855461","0.968943307956421","normal"
"sarre","Mixed","9.58132998470249","10.131035685677","12.9720310740759","3.39070108937336","10.8947989148185","1.48586992970691","normal"
"saint marcel","GAMM","9.5410618150433","11.6660674355762","11.9397197617573","2.39865794671398","11.0489496707923","1.07207454281951","normal"
"gignod","GAMM","9.40174319300177","14.1509716739798","17.8292536037473","8.42751041074555","13.7939894902429","3.44976425672202","normal"
"cogne","GAMM","9.33888153018756","10.0711089181355","11.1820936379023","1.84321210771471","10.1973613620751","0.757765345476232","normal"
"montjovet","Mixed","9.20058340452793","9.40961070336092","17.9607087688481","8.76012536432022","12.1903009589123","4.08118674102199","normal"
"charvensod","Mixed","8.72850601680889","9.46577077461373","12.1951792915997","3.46667327479086","10.1298186943408","1.49112387777534","normal"
"fenis","GAMM","8.68533321589363","11.6219554405052","15.7714739780864","7.08614076219275","12.0262542114951","2.90699625588228","normal"
"antey saint andre","Prophet","8.6387991827387","10.4139636888206","10.694763731326","2.05596454858733","9.91584220096178","0.910253195091707","normal"
"issogne","Mixed","8.46738501381508","8.54781426548606","9.25388635834534","0.786501344530253","8.7563618792155","0.353331922919658","normal"
"fontainemore","Prophet","8.3852147239107","9.10605298223911","12.1299373400125","3.74472261610181","9.87373501538744","1.62229028349844","normal"
"jovencan","Mixed","8.34094774977569","8.39987212749335","10.0618381114252","1.72089036164951","8.93421932956474","0.797709683396031","normal"
"la salle","GAMM","8.3316371109143","8.64762561908558","11.5920298815506","3.26039277063633","9.52376420385017","1.46816310844297","normal"
"donnas","Mixed","8.28704880779456","8.46254139283516","8.50109744911171","0.214048641317156","8.41689588324714","0.0931552096292078","normal"
"quart","Mixed","8.26619096195677","9.1927296984572","11.3881920239915","3.12200106203476","9.61570422813517","1.30917359363423","normal"
"perloz","GAMM","8.18802795324942","9.08986584300268","14.2410743419632","6.05304638871374","10.5063227127384","2.66640897011271","normal"
"etroubles","Mixed","8.11240149852185","8.72139325978145","11.3754739839676","3.26307248544572","9.40308958075696","1.41667284316502","normal"
"villeneuve","Mixed","8.10750725478524","8.95535611906203","10.0267610500601","1.91925379527486","9.02987480796912","0.785301877800957","normal"
"arvier","Mixed","8.00124225308501","8.18314225857525","16.8488191842276","8.84757693114257","11.0110678986293","4.12858143170894","normal"
"brusson","Prophet","7.9863807592379","9.56588691542271","10.6927448671321","2.70636410789421","9.41500418059757","1.11000776900456","normal"
"oyace","Prophet","7.92582617038215","7.94843597136618","10.2622301153894","2.33640394500729","8.71216408571259","1.09610106682542","normal"
"chamois","Prophet","7.68214992979696","9.79394174931515","11.4380060570795","3.75585612728255","9.63803257873053","1.53727997109955","normal"
"chambave","Mixed","7.5282649824898","10.9967414606786","13.6763052287699","6.14804024628012","10.7337705573128","2.51680551354063","normal"
