"model","comune_key","comune_nome","n_obs","actual_total","pred_total","mae","rmse","bias","mape","coverage_90","total_rel_error","implausible"
"nnetar_share","valsavarenche","Valsavarenche",9,25334,29430.6806084071,520.810088614646,782.705589737418,455.18673426746,0.204979350445011,0.888888888888889,0.161706821204987,FALSE
"nnetar_share","ollomont","Ollomont",9,861,984.890899283346,16.0808450300524,28.4745908396237,13.7656554759273,0.194147250721549,0.888888888888889,0.143891869086348,FALSE
"nnetar_share","fontainemore","Fontainemore",9,1900,2102.01799356555,28.9384457304659,46.271015839913,22.4464437295056,0.156711041077178,1,0.106325259771342,FALSE
"nnetar_share","etroubles","Etroubles",9,13645,14775.1488133463,224.900227366932,371.642607085191,125.572090371811,0.154690304217938,1,0.0828251237336971,FALSE
"nnetar_share","doues","Doues",9,2301,2472.76836431143,36.0058102678349,65.8401033449679,19.0853738123806,0.134275442824924,1,0.0746494412479033,FALSE
"nnetar_share","lillianes","Lillianes",9,1777,1907.41220663632,23.4420545696497,35.78735274267,14.4902451818138,0.14782896064071,1,0.0733889739090176,FALSE
"nnetar_share","bionaz","Bionaz",9,8769,9371.72911519923,113.865863898628,181.27775434523,66.9699016888038,0.156852992628446,1,0.0687340763142016,FALSE
"nnetar_share","gressan","Gressan",9,36832,34587.4360247005,321.618773118006,474.710319754318,-249.395997255497,0.111904528682716,1,-0.0609405944640388,FALSE
"nnetar_share","rhemes saint georges","Rhêmes-Saint-Georges",9,4726,5011.82578357666,48.0080934181829,75.9425154286695,31.7584203974064,0.170417939361253,1,0.0604794294491447,FALSE
"nnetar_share","roisan","Roisan",9,1305,1375.05599939345,18.8737281192472,29.3852581752872,7.78399993260544,0.13166276297548,1,0.0536827581558996,FALSE
"nnetar_share","valgrisenche","Valgrisenche",9,10192,10718.6507053283,119.853670470895,185.902683177129,58.5167450364763,0.149591590605707,1,0.0516729498948475,FALSE
"nnetar_share","valpelline","Valpelline",9,4900,5133.09856907853,53.8496558253689,80.9143425062682,25.899841008726,0.143640495360831,1,0.0475711365466395,FALSE
"nnetar_share","challand saint victor","Challand-Saint-Victor",9,341,325.138616727948,3.69707320527244,4.10793369258077,-1.76237591911684,0.128156690351015,1,-0.046514320445899,FALSE
"nnetar_share","valtournenche","Valtournenche",9,135375,129118.990751681,1474.89130114327,1678.60785410493,-695.112138702098,0.132739649762535,1,-0.0462124413541561,FALSE
"nnetar_share","saint rhemy en bosses","Saint-Rhémy-en-Bosses",9,6294,6582.87976912956,82.272324576431,127.289707992418,32.0977521255067,0.142464359261078,1,0.0458976436494376,FALSE
"nnetar_share","issogne","Issogne",9,561,585.645373348628,8.06498832249974,13.7514236337654,2.73837481651427,0.112508736966509,1,0.0439311467889989,FALSE
"nnetar_share","courmayeur","Courmayeur",9,231129,241184.495279177,3065.0714487515,4911.13437564599,1117.27725324192,0.139070717582871,1,0.0435059870426354,FALSE
"nnetar_share","allein","Allein",9,221,228.609557106305,2.30526718857751,3.53433409911011,0.845506345145044,0.14035747177341,0.888888888888889,0.0344323850964045,FALSE
"nnetar_share","champdepraz","Champdepraz",9,2921,3017.11763766416,40.5113094779267,72.7341155091751,10.6797375182397,0.12069378361925,1,0.0329057301143985,FALSE
