"rep","date","arrivals","comune_key","comune_nome","share","arrivals_comune"
1,2025-01-01,172412.075728069,"allein","Allein",0.000101917732083308,17.5718477419803
1,2025-01-01,172412.075728069,"antey saint andre","Antey-Saint-André",0.0134829634099685,2324.62570847826
1,2025-01-01,172412.075728069,"aosta","Aosta",0.0829764782355842,14306.146849202
1,2025-01-01,172412.075728069,"arnad","Arnad",0.00147304020498027,253.969919371548
1,2025-01-01,172412.075728069,"arvier","Arvier",0.00464132327188659,800.220179430958
1,2025-01-01,172412.075728069,"avise","Avise",0.000633654088993949,109.249616777025
1,2025-01-01,172412.075728069,"ayas","Ayas",0.0659221211510813,11365.7697440551
1,2025-01-01,172412.075728069,"aymavilles","Aymavilles",0.00388118867992133,669.163796597519
1,2025-01-01,172412.075728069,"bard","Bard",0.00392845670089499,677.313374209145
1,2025-01-01,172412.075728069,"bionaz","Bionaz",0.000895925646183824,154.468400356564
1,2025-01-01,172412.075728069,"brissogne","Brissogne",0.000295554958133508,50.9572438235205
1,2025-01-01,172412.075728069,"brusson","Brusson",0.0178748455991289,3081.83923306454
1,2025-01-01,172412.075728069,"challand saint anselme","Challand-Saint-Anselme",0.00374505159319574,645.692118891588
1,2025-01-01,172412.075728069,"challand saint victor","Challand-Saint-Victor",0.00023466013798097,40.4582414799341
1,2025-01-01,172412.075728069,"chambave","Chambave",0.00091635580752115,157.990806880192
1,2025-01-01,172412.075728069,"chamois","Chamois",0.00316863395878614,546.310758056765
1,2025-01-01,172412.075728069,"champdepraz","Champdepraz",0.0016411901972385,282.961008570447
1,2025-01-01,172412.075728069,"champorcher","Champorcher",0.0023668553686042,408.074447049173
1,2025-01-01,172412.075728069,"charvensod","Charvensod",0.0131771214300201,2271.89485787058
1,2025-01-01,172412.075728069,"chatillon","Châtillon",0.0196126097425223,3381.45075615281
1,2025-01-01,172412.075728069,"cogne","Cogne",0.047865784766708,8252.6393079811
1,2025-01-01,172412.075728069,"courmayeur","Courmayeur",0.127261919421263,21941.4916885581
1,2025-01-01,172412.075728069,"donnas","Donnas",0.0010539859252294,181.71990115697
1,2025-01-01,172412.075728069,"doues","Doues",0.00106788789019699,184.116767793732
1,2025-01-01,172412.075728069,"emarese","Emarèse",0.000315281878814664,54.3584031658816
1,2025-01-01,172412.075728069,"etroubles","Etroubles",0.00472848865287812,815.248543699336
1,2025-01-01,172412.075728069,"fenis","Fénis",0.00512341711678795,883.338979926126
1,2025-01-01,172412.075728069,"fontainemore","Fontainemore",0.000411105290285371,70.8795164408911
1,2025-01-01,172412.075728069,"gaby","Gaby",0.00446480681209079,769.786610197394
1,2025-01-01,172412.075728069,"gignod","Gignod",0.00381150340298152,657.149213352641
1,2025-01-01,172412.075728069,"gressan","Gressan",0.0497337780692401,8574.70391071679
1,2025-01-01,172412.075728069,"gressoney la trinite","Gressoney-La-Trinité",0.024134728576604,4161.11865102584
1,2025-01-01,172412.075728069,"gressoney saint jean","Gressoney-Saint-Jean",0.0267072989169531,4604.66084336188
1,2025-01-01,172412.075728069,"hone","Hône",0.000544639574292439,93.902439527411
1,2025-01-01,172412.075728069,"introd","Introd",0.0027832364992236,479.863582073264
1,2025-01-01,172412.075728069,"issime","Issime",0.000766952078449965,132.231799829515
1,2025-01-01,172412.075728069,"issogne","Issogne",0.000308797671319803,53.2404474922412
1,2025-01-01,172412.075728069,"jovencan","Jovençan",0.00420507583896206,725.005853989398
1,2025-01-01,172412.075728069,"la magdeleine","La Magdeleine",0.000707425842492617,121.96875792783
1,2025-01-01,172412.075728069,"la salle","La Salle",0.0168987259584096,2913.54441964919
1,2025-01-01,172412.075728069,"la thuile","La Thuile",0.0610775687805446,10530.5104138776
1,2025-01-01,172412.075728069,"lillianes","Lillianes",0.000436125829643069,75.1933595673876
1,2025-01-01,172412.075728069,"montjovet","Montjovet",0.00357041556414281,615.582758625664
1,2025-01-01,172412.075728069,"morgex","Morgex",0.00917242680455018,1581.43714483627
1,2025-01-01,172412.075728069,"nus","Nus",0.0104813084823027,1807.10415178002
1,2025-01-01,172412.075728069,"ollomont","Ollomont",0.000246921949628613,42.5723258782908
1,2025-01-01,172412.075728069,"oyace","Oyace",1.03034532012999e-09,0.000177643975360312
1,2025-01-01,172412.075728069,"perloz","Perloz",0.00040186007973529,69.2855304994085
1,2025-01-01,172412.075728069,"pollein","Pollein",0.015607789930112,2690.97145937825
1,2025-01-01,172412.075728069,"pont saint martin","Pont-Saint-Martin",0.00336741968087745,580.583817027632
1,2025-01-01,172412.075728069,"pontboset","Pontboset",0.000925712470053206,159.604008489231
1,2025-01-01,172412.075728069,"pontey","Pontey",0.00053899391607539,92.9290598753584
1,2025-01-01,172412.075728069,"pre saint didier","Pré-Saint-Didier",0.0531129845845131,9157.31992032881
1,2025-01-01,172412.075728069,"quart","Quart",0.00529152777848886,912.323288062
1,2025-01-01,172412.075728069,"rhemes notre dame","Rhêmes-Notre-Dame",0.0103524957304511,1784.89527785304
1,2025-01-01,172412.075728069,"rhemes saint georges","Rhêmes-Saint-Georges",0.000852994829232423,147.066609093271
1,2025-01-01,172412.075728069,"roisan","Roisan",0.000698812340863569,120.483686232679
1,2025-01-01,172412.075728069,"saint christophe","Saint-Christophe",0.00490759983100429,846.129473706168
1,2025-01-01,172412.075728069,"saint denis","Saint-Denis",0.000245281858424749,42.2895543494492
1,2025-01-01,172412.075728069,"saint marcel","Saint-Marcel",0.000706833039758826,121.866551578
1,2025-01-01,172412.075728069,"saint nicolas","Saint-Nicolas",0.00321617693160761,554.507740687199
1,2025-01-01,172412.075728069,"saint oyen","Saint-Oyen",0.00217858671184984,375.614657143619
1,2025-01-01,172412.075728069,"saint pierre","Saint-Pierre",0.00757724539743582,1306.40860727286
1,2025-01-01,172412.075728069,"saint rhemy en bosses","Saint-Rhémy-en-Bosses",0.00352599887732802,607.924785454963
1,2025-01-01,172412.075728069,"saint vincent","Saint-Vincent",0.0476081746235086,8208.22420846348
1,2025-01-01,172412.075728069,"sarre","Sarre",0.00746830765450726,1287.62642488942
1,2025-01-01,172412.075728069,"torgnon","Torgnon",0.0192847486663296,3324.92354745599
1,2025-01-01,172412.075728069,"valgrisenche","Valgrisenche",0.00336029220669588,579.35495440929
1,2025-01-01,172412.075728069,"valpelline","Valpelline",0.000933217938064973,160.89804180845
1,2025-01-01,172412.075728069,"valsavarenche","Valsavarenche",0.000890997429290515,153.618716252351
1,2025-01-01,172412.075728069,"valtournenche","Valtournenche",0.151304745659939,26086.7652667376
1,2025-01-01,172412.075728069,"verrayes","Verrayes",0.00350872076172885,604.945829679841
1,2025-01-01,172412.075728069,"verres","Verrès",0.000736655359158655,127.00827956875
1,2025-01-01,172412.075728069,"villeneuve","Villeneuve",0.00254626917391503,439.007553637085
1,2025-02-01,157852.989658293,"allein","Allein",5.96971089625405e-05,9.4233671236939
1,2025-02-01,157852.989658293,"antey saint andre","Antey-Saint-André",0.0146071276763589,2305.77877403365
1,2025-02-01,157852.989658293,"aosta","Aosta",0.0760394329383517,12003.0518212401
1,2025-02-01,157852.989658293,"arnad","Arnad",0.00164974589052966,260.417320996591
1,2025-02-01,157852.989658293,"arvier","Arvier",0.00556730426188799,878.815622076376
1,2025-02-01,157852.989658293,"avise","Avise",0.000676774542860473,106.83088491515
1,2025-02-01,157852.989658293,"ayas","Ayas",0.0630547347995484,9953.37840021954
1,2025-02-01,157852.989658293,"aymavilles","Aymavilles",0.00355657464865254,561.415941232697
1,2025-02-01,157852.989658293,"bard","Bard",0.00391111132618414,617.380615724578
1,2025-02-01,157852.989658293,"bionaz","Bionaz",0.000912748215024058,144.080034546818
1,2025-02-01,157852.989658293,"brissogne","Brissogne",0.000262270514453465,41.4001848056981
1,2025-02-01,157852.989658293,"brusson","Brusson",0.022142949705257,3495.33081082804
1,2025-02-01,157852.989658293,"challand saint anselme","Challand-Saint-Anselme",0.0029719130286538,469.125356577434
1,2025-02-01,157852.989658293,"challand saint victor","Challand-Saint-Victor",0.00037654907678714,59.4393975239203
1,2025-02-01,157852.989658293,"chambave","Chambave",0.000902665548349962,142.488455468584
1,2025-02-01,157852.989658293,"chamois","Chamois",0.0045909049668894,724.688074260599
1,2025-02-01,157852.989658293,"champdepraz","Champdepraz",0.00189715925091155,299.472259614276
1,2025-02-01,157852.989658293,"champorcher","Champorcher",0.00248633351962821,392.475179360939
1,2025-02-01,157852.989658293,"charvensod","Charvensod",0.011617001249394,1833.77837808097
1,2025-02-01,157852.989658293,"chatillon","Châtillon",0.0193581077398303,3055.73518085956
1,2025-02-01,157852.989658293,"cogne","Cogne",0.045170945665055,7130.36881892124
1,2025-02-01,157852.989658293,"courmayeur","Courmayeur",0.129966494378049,20515.5996929828
1,2025-02-01,157852.989658293,"donnas","Donnas",0.00111991714009674,176.782268733836
1,2025-02-01,157852.989658293,"doues","Doues",0.000706036618064353,111.449990969688
1,2025-02-01,157852.989658293,"emarese","Emarèse",0.000415354852057549,65.5650051663621
1,2025-02-01,157852.989658293,"etroubles","Etroubles",0.00470385072221676,742.516899408237
1,2025-02-01,157852.989658293,"fenis","Fénis",0.00356536568380197,562.803632413225
1,2025-02-01,157852.989658293,"fontainemore","Fontainemore",0.000459858258362976,72.5900009016516
1,2025-02-01,157852.989658293,"gaby","Gaby",0.0042625694503788,672.859331368401
1,2025-02-01,157852.989658293,"gignod","Gignod",0.00355952621596258,561.881854956765
1,2025-02-01,157852.989658293,"gressan","Gressan",0.0521818879771959,8237.06702321452
1,2025-02-01,157852.989658293,"gressoney la trinite","Gressoney-La-Trinité",0.0255001625809481,4025.2769001752
1,2025-02-01,157852.989658293,"gressoney saint jean","Gressoney-Saint-Jean",0.0289708307582288,4573.13224807085
1,2025-02-01,157852.989658293,"hone","Hône",0.000440270924989558,69.4980817692238
1,2025-02-01,157852.989658293,"introd","Introd",0.00347293427107452,548.213057575858
1,2025-02-01,157852.989658293,"issime","Issime",0.000784517721877487,123.838467838275
1,2025-02-01,157852.989658293,"issogne","Issogne",0.000225685561621663,35.6251406246904
1,2025-02-01,157852.989658293,"jovencan","Jovençan",0.00436437900028596,688.930273197012
1,2025-02-01,157852.989658293,"la magdeleine","La Magdeleine",0.000863012117787116,136.229042904031
1,2025-02-01,157852.989658293,"la salle","La Salle",0.0173272770612706,2735.16248675912
1,2025-02-01,157852.989658293,"la thuile","La Thuile",0.0655813169284182,10352.2069428788
1,2025-02-01,157852.989658293,"lillianes","Lillianes",0.000393619176150123,62.1339637421312
1,2025-02-01,157852.989658293,"montjovet","Montjovet",0.00303842265561695,479.624100034626
1,2025-02-01,157852.989658293,"morgex","Morgex",0.00931287238804053,1470.06474875837
1,2025-02-01,157852.989658293,"nus","Nus",0.00941210525134796,1485.7289529038
1,2025-02-01,157852.989658293,"ollomont","Ollomont",9.16366245246878e-05,14.4651151434164
1,2025-02-01,157852.989658293,"oyace","Oyace",4.69203299318998e-05,7.40651435550388
1,2025-02-01,157852.989658293,"perloz","Perloz",0.000336312141927889,53.0878770617014
1,2025-02-01,157852.989658293,"pollein","Pollein",0.0172266263662656,2719.27447364141
1,2025-02-01,157852.989658293,"pont saint martin","Pont-Saint-Martin",0.00314861766870495,497.018712296001
1,2025-02-01,157852.989658293,"pontboset","Pontboset",0.000740484589394683,116.887706231844
1,2025-02-01,157852.989658293,"pontey","Pontey",0.000566087786711535,89.358649541462
1,2025-02-01,157852.989658293,"pre saint didier","Pré-Saint-Didier",0.0470539450123765,7427.60589542057
1,2025-02-01,157852.989658293,"quart","Quart",0.00498070746771738,786.219564392574
1,2025-02-01,157852.989658293,"rhemes notre dame","Rhêmes-Notre-Dame",0.0111381119974562,1758.18427794737
1,2025-02-01,157852.989658293,"rhemes saint georges","Rhêmes-Saint-Georges",0.00123300516403862,194.63355140761
1,2025-02-01,157852.989658293,"roisan","Roisan",0.000827798871842415,130.670526756087
1,2025-02-01,157852.989658293,"saint christophe","Saint-Christophe",0.00532079327803747,839.903126291964
1,2025-02-01,157852.989658293,"saint denis","Saint-Denis",0.000443959782072543,70.0803788881952
1,2025-02-01,157852.989658293,"saint marcel","Saint-Marcel",0.00065855701074457,103.955193006459
1,2025-02-01,157852.989658293,"saint nicolas","Saint-Nicolas",0.00363072270909922,573.120434251569
1,2025-02-01,157852.989658293,"saint oyen","Saint-Oyen",0.00134571077044383,212.424468329923
1,2025-02-01,157852.989658293,"saint pierre","Saint-Pierre",0.00535205766058565,844.838302547016
1,2025-02-01,157852.989658293,"saint rhemy en bosses","Saint-Rhémy-en-Bosses",0.00354958459280719,560.312540019631
1,2025-02-01,157852.989658293,"saint vincent","Saint-Vincent",0.0476793388998978,7526.32619027982
1,2025-02-01,157852.989658293,"sarre","Sarre",0.0088142426654625,1391.35455631694
1,2025-02-01,157852.989658293,"torgnon","Torgnon",0.0174430273033919,2753.43400853164
1,2025-02-01,157852.989658293,"valgrisenche","Valgrisenche",0.0039431310494428,622.435024768989
