"comune_key","comune_nome","date","bagged_mean","q05","q50","q95"
"allein","Allein",2025-10-01,12.6015968607823,7.85426351118916,12.4354845367005,18.2248375229094
"allein","Allein",2025-11-01,10.4640171125866,7.85671757049336,9.86655677708327,14.6118973524947
"allein","Allein",2025-12-01,5.73321936567224,4.15033618351229,5.5618349675464,7.30012939020726
"allein","Allein",2026-01-01,17.4833506372875,9.95231069246667,18.0579929826045,24.8229371396523
"allein","Allein",2026-02-01,12.265572661064,6.81765186905239,11.960726258262,18.3309053262585
"allein","Allein",2026-03-01,2.29636684823216,1.32417187373668,2.21233531079762,4.02981296125801
"allein","Allein",2026-04-01,10.5367484942655,6.01404369837524,9.93466964293864,17.2144533064478
"allein","Allein",2026-05-01,9.65104255358862,6.03596529112336,8.25052325111888,16.3389002316845
"allein","Allein",2026-06-01,0.00016307177524627,0.000120998941987755,0.000153201167558153,0.000231271180941964
"allein","Allein",2026-07-01,39.1554422978964,22.3634566274894,36.5691693231404,60.5156853262947
"allein","Allein",2026-08-01,134.036966663503,84.0718597364578,123.992597710888,220.672893038473
"allein","Allein",2026-09-01,34.3775045317105,18.2348600276281,32.3977821345346,53.4083860397742
"antey saint andre","Antey-Saint-André",2025-10-01,1014.30625852762,632.191993089177,1000.93582843085,1466.92256262104
"antey saint andre","Antey-Saint-André",2025-11-01,766.333135260373,575.387343490605,722.578079513259,1070.10347840229
"antey saint andre","Antey-Saint-André",2025-12-01,2042.34559539988,1478.47488177024,1981.29330552443,2600.52618869065
"antey saint andre","Antey-Saint-André",2026-01-01,2261.27953710514,1287.22216826048,2335.60321816476,3210.57450423882
"antey saint andre","Antey-Saint-André",2026-02-01,2836.66314752316,1576.72065903408,2766.16121659998,4239.3946892344
"antey saint andre","Antey-Saint-André",2026-03-01,2112.17514329142,1217.95997852233,2034.88377986731,3706.58145297447
"antey saint andre","Antey-Saint-André",2026-04-01,1747.27219880708,997.287859940934,1647.43156590351,2854.61266313687
"antey saint andre","Antey-Saint-André",2026-05-01,652.476584455456,408.07259891103,557.79188631374,1104.62157406651
"antey saint andre","Antey-Saint-André",2026-06-01,2052.49158783573,1522.94479036507,1928.25586883352,2910.87867704484
"antey saint andre","Antey-Saint-André",2026-07-01,2727.99687009592,1558.08327282245,2547.80877448789,4216.18529822381
"antey saint andre","Antey-Saint-André",2026-08-01,3310.3330027016,2076.33654216286,3062.26557128453,5449.9947201939
"antey saint andre","Antey-Saint-André",2026-09-01,1914.00788504984,1015.24721910709,1803.78451863564,2973.57453370765
"aosta","Aosta",2025-10-01,19295.1310710339,12026.177760572,19040.7856018777,27905.2434891972
"aosta","Aosta",2025-11-01,10812.4043119669,8118.29778402471,10195.0522340488,15098.3833684765
"aosta","Aosta",2025-12-01,13229.4345830437,9576.92310993179,12833.9641607647,16845.0879088554
"aosta","Aosta",2026-01-01,13238.5826241853,7535.99754058495,13673.7080372517,18796.1970857795
"aosta","Aosta",2026-02-01,14281.442259619,7938.14558884273,13926.4937855465,21343.6235891813
"aosta","Aosta",2026-03-01,11980.6667772364,6908.50505320654,11542.2551839158,21024.4483805313
"aosta","Aosta",2026-04-01,13552.0396201145,7735.07676697776,12777.6644462119,22140.6967599689
"aosta","Aosta",2026-05-01,14262.241098284,8919.90598579065,12192.5637713307,24145.5089531693
"aosta","Aosta",2026-06-01,15060.9218939102,11175.1749300039,14149.2960088565,21359.6570419317
"aosta","Aosta",2026-07-01,18086.5335781461,10330.0431684367,16891.8921629299,27953.1761212503
"aosta","Aosta",2026-08-01,20558.7274282452,12895.028078684,19018.1118158079,33847.0346779012
"aosta","Aosta",2026-09-01,23774.1338169102,12610.5140071924,22405.0354535493,36935.1450592801
"arnad","Arnad",2025-10-01,467.155180901069,291.166265033688,460.997212695639,675.614952927384
"arnad","Arnad",2025-11-01,117.310684817608,88.0806012353012,110.612637561459,163.812010861862
"arnad","Arnad",2025-12-01,256.472667141892,185.663188974471,248.805872817394,326.567594185861
"arnad","Arnad",2026-01-01,235.522621463511,134.070084878922,243.26377328165,334.396040487003
"arnad","Arnad",2026-02-01,307.249136789559,170.780257031746,299.612820353094,459.184009886699
"arnad","Arnad",2026-03-01,205.414686427489,118.449868072743,197.897894445657,360.474967854333
"arnad","Arnad",2026-04-01,319.499634412686,182.360313906946,301.243151116037,521.983754382828
"arnad","Arnad",2026-05-01,573.21903554779,358.503258437208,490.035864468594,970.441129102181
"arnad","Arnad",2026-06-01,514.492802888054,381.752665142419,483.350953797381,729.66249328167
"arnad","Arnad",2026-07-01,541.461733568406,309.253459633447,505.697411517375,836.842236018263
"arnad","Arnad",2026-08-01,790.280275680938,495.686631407694,731.058802213539,1301.08461185611
"arnad","Arnad",2026-09-01,666.888466692613,353.737655185591,628.483874738828,1036.06812535616
"arvier","Arvier",2025-10-01,231.618142937512,144.361857366271,228.564987972478,334.973660007412
"arvier","Arvier",2025-11-01,405.168181810214,304.21318493489,382.034435445405,565.774675194919
"arvier","Arvier",2025-12-01,588.958097633345,426.35279539729,571.352242589912,749.922520648155
"arvier","Arvier",2026-01-01,802.027300959001,456.550065750031,828.388314862617,1138.72184394278
"arvier","Arvier",2026-02-01,1054.77817542495,586.28411390437,1028.56290269226,1576.36658378747
"arvier","Arvier",2026-03-01,539.94189959243,311.350896500995,520.183668026333,947.524942270837
"arvier","Arvier",2026-04-01,387.421300211461,221.127858411077,365.283714642455,632.951036654535
"arvier","Arvier",2026-05-01,455.299734100114,284.754043599581,389.2285234018,770.807598212081
"arvier","Arvier",2026-06-01,936.543015715616,694.913107166918,879.8547955916,1328.22132414023
"arvier","Arvier",2026-07-01,2642.52268496863,1509.26507234545,2467.98028155716,4084.08287293816
"arvier","Arvier",2026-08-01,2498.97741238229,1567.4308642467,2311.710781698,4114.21258593995
"arvier","Arvier",2026-09-01,835.403333556643,443.122997481322,787.294353203168,1297.8703470565
"avise","Avise",2025-10-01,47.9314256151606,29.8744715774904,47.2996008874336,69.3199801365086
"avise","Avise",2025-11-01,77.4980950668534,58.1880398933142,73.0732133621191,108.217924143935
"avise","Avise",2025-12-01,96.3361381608253,69.7387165024046,93.4563406154326,122.665160474711
"avise","Avise",2026-01-01,106.778975200991,60.7834023735125,110.288583971816,151.605252576568
"avise","Avise",2026-02-01,125.995158266668,70.0326963921617,122.863696586937,188.299835774067
"avise","Avise",2026-03-01,96.3167766214319,55.5398919250484,92.7922322628208,169.022904643674
"avise","Avise",2026-04-01,40.0340224555528,22.850157294773,37.7464440562816,65.405737890153
"avise","Avise",2026-05-01,49.7110206049535,31.090319340292,42.4971632920127,84.1591363388541
"avise","Avise",2026-06-01,112.765972385663,83.6721335147034,105.940335807494,159.926630861264
"avise","Avise",2026-07-01,172.555711433081,98.5544267154554,161.15815985586,266.689035329841
"avise","Avise",2026-08-01,189.022095415968,118.560121796831,174.857289140393,311.198124531968
"avise","Avise",2026-09-01,207.772990678264,110.209029251819,195.807816103287,322.793066161832
"ayas","Ayas",2025-10-01,2227.25834093047,1388.19501293552,2197.89896184304,3221.13314950805
"ayas","Ayas",2025-11-01,1542.96370924788,1158.50633219051,1454.86564848612,2154.58624499338
"ayas","Ayas",2025-12-01,7945.7777798891,5752.02986710678,7708.25288234172,10117.3881896673
"ayas","Ayas",2026-01-01,11143.8294171373,6343.56966030668,11510.1045325273,15822.0573879381
"ayas","Ayas",2026-02-01,11576.2177207965,6434.48329414558,11288.5044254001,17300.6639754941
"ayas","Ayas",2026-03-01,10142.7392505482,5848.68661057378,9771.58340771006,17799.1343700095
"ayas","Ayas",2026-04-01,2781.46157162828,1587.57053432829,2622.52647044718,4544.2235215667
"ayas","Ayas",2026-05-01,2256.46658402752,1411.24172918556,1929.01750391406,3820.12432209685
"ayas","Ayas",2026-06-01,7525.83325329979,5584.15372525582,7070.30042146962,10673.2654466688
"ayas","Ayas",2026-07-01,11717.117991858,6692.17980010328,10943.1855874219,18109.0899173533
"ayas","Ayas",2026-08-01,12858.1462992238,8065.00101463089,11894.5914778115,21169.1178455642
"ayas","Ayas",2026-09-01,7696.62501309341,4082.52087260844,7253.39386154107,11957.3635580064
"aymavilles","Aymavilles",2025-10-01,470.644961986821,293.341359233787,464.440992020417,680.661987361274
"aymavilles","Aymavilles",2025-11-01,113.058364292066,84.8878234493964,106.603110297867,157.874093295348
"aymavilles","Aymavilles",2025-12-01,547.268366813769,396.173172524777,530.908752140505,696.838832441828
"aymavilles","Aymavilles",2026-01-01,649.957384840854,369.985019748073,671.320168424482,922.812316819176
"aymavilles","Aymavilles",2026-02-01,673.733180983029,374.485432315159,656.98833405688,1006.89462261826
"aymavilles","Aymavilles",2026-03-01,526.154329823068,303.400462923788,506.900630312074,923.329623738176
"aymavilles","Aymavilles",2026-04-01,381.664510973013,217.842064690063,359.85587328142,623.54586013407
"aymavilles","Aymavilles",2026-05-01,467.079721630141,292.12149592054,399.299047956501,790.750732843897
"aymavilles","Aymavilles",2026-06-01,562.443410309463,417.331923152571,528.399148256467,797.666864905676
"aymavilles","Aymavilles",2026-07-01,1069.70672519958,610.958235923686,999.051065808724,1653.25767695585
"aymavilles","Aymavilles",2026-08-01,1640.14338767781,1028.7453399531,1517.23546360948,2700.2639299158
"aymavilles","Aymavilles",2026-09-01,656.25588085173,348.097812585574,618.46359536451,1019.54949618495
"bard","Bard",2025-10-01,1052.29342513601,655.86845408709,1038.42225401409,1521.86083330545
"bard","Bard",2025-11-01,663.234062119343,497.977273272506,625.365618193116,926.136485834776
"bard","Bard",2025-12-01,626.222394131756,453.328801066376,607.502589207877,797.371286990894
"bard","Bard",2026-01-01,627.141729217168,356.997320872152,647.754608384329,890.41854990937
"bard","Bard",2026-02-01,731.803234023236,406.762882099651,713.615124130978,1093.68034995327
"bard","Bard",2026-03-01,540.673564775119,311.772802285193,520.888559198487,948.808915621512
"bard","Bard",2026-04-01,741.642377294465,423.306076636757,699.264295397585,1211.6610813067
"bard","Bard",2026-05-01,880.176377840001,550.480845691999,752.448829246357,1490.10989682827
"bard","Bard",2026-06-01,843.211566651514,625.661352386633,792.172626528797,1195.85706667457
"bard","Bard",2026-07-01,1118.58160505875,638.872906062988,1044.69768993878,1728.79498866377
"bard","Bard",2026-08-01,1541.72011771196,967.011420174497,1426.18776817108,2538.22394746681
"bard","Bard",2026-09-01,1054.5980215662,559.390437747875,993.866117032922,1638.4079944091
"bionaz","Bionaz",2025-10-01,420.208258461375,261.905409925059,414.669137413262,607.718793169507
"bionaz","Bionaz",2025-11-01,96.9629707242729,72.8028889459944,91.4267098029637,135.398572075328
"bionaz","Bionaz",2025-12-01,219.523711045033,158.915461449863,212.961440060415,279.520351940922
"bionaz","Bionaz",2026-01-01,144.622881457415,82.3258584332367,149.376342822535,205.33619498063
"bionaz","Bionaz",2026-02-01,174.680041230084,97.0935269381153,170.338573963794,261.059421085181
"bionaz","Bionaz",2026-03-01,478.827280055633,276.109898170504,461.305431340717,840.277058022147
"bionaz","Bionaz",2026-04-01,811.954903159831,463.438248656198,765.559103194616,1326.53444039148
"bionaz","Bionaz",2026-05-01,364.246679972938,227.807545714951,311.388711175263,616.657747673818
"bionaz","Bionaz",2026-06-01,1159.25636165821,860.165979314228,1089.08747597213,1644.07720079267
"bionaz","Bionaz",2026-07-01,3030.97350657318,1731.12703050632,2830.77337072456,4684.4430350356
"bionaz","Bionaz",2026-08-01,3031.94344304793,1901.72256369187,2804.73777476473,4991.66571551933
