"comune_key","comune_nome","date","q05","q50","q95","scale_factor"
"allein","Allein",2025-01-01,17.8295549845046,74.3998703905343,291.622663573922,2.09046510739047
"allein","Allein",2025-02-01,31.6150147202373,129.957732610325,507.581221466705,3.01425863985616
"allein","Allein",2025-03-01,43.6055603743295,177.599777544195,692.120474753479,3.57762181342539
"allein","Allein",2025-04-01,33.3034914156837,132.950369733521,515.581668230727,1.78501399459999
"allein","Allein",2025-05-01,24.8744396828895,98.9822478176198,383.546775418059,1.22103135018847
"allein","Allein",2025-06-01,93.2345372299626,362.093235668549,1394.47633318712,1.43827193394973
"allein","Allein",2025-07-01,217.870067331767,840.877601080133,3233.14703927897,1.50863863080624
"allein","Allein",2025-08-01,224.924492265889,867.623753703347,3335.50691370185,1.38823215487078
"allein","Allein",2025-09-01,82.4131678732656,321.246534304641,1238.33618793745,1.6868662838857
"antey saint andre","Antey-Saint-André",2025-01-01,1826.86664851945,7020.87148911043,26965.1873583649,2.09046510739047
"antey saint andre","Antey-Saint-André",2025-02-01,2320.4797380302,8918.90622702363,34256.0220317842,3.01425863985616
"antey saint andre","Antey-Saint-André",2025-03-01,2721.09781358142,10458.8284006134,40170.7265746239,3.57762181342539
"antey saint andre","Antey-Saint-André",2025-04-01,1370.30755227046,5266.87537106824,20229.1986205075,1.78501399459999
"antey saint andre","Antey-Saint-André",2025-05-01,850.136603860514,3267.88366059149,12551.723870859,1.22103135018847
"antey saint andre","Antey-Saint-André",2025-06-01,1701.74942288994,6538.5851613769,25111.4172508261,1.43827193394973
"antey saint andre","Antey-Saint-André",2025-07-01,3804.73680928965,14613.9882311411,56120.1345063269,1.50863863080624
"antey saint andre","Antey-Saint-André",2025-08-01,4236.59849673969,16271.940069396,62486.1160831627,1.38823215487078
"antey saint andre","Antey-Saint-André",2025-09-01,1498.93226249544,5760.49911974514,22124.3721055207,1.6868662838857
"aosta","Aosta",2025-01-01,5850.00213016786,22469.1984147494,86284.7916545742,2.09046510739047
"aosta","Aosta",2025-02-01,5544.82894804012,21299.9957891007,81797.8262099064,3.01425863985616
"aosta","Aosta",2025-03-01,4967.86235131396,19086.117554098,73298.4161423743,3.57762181342539
