"model","mae","rmse","bias","mape","coverage_90"
"auto.arima",14609.2628033023,18850.6663807367,-14609.2628033023,0.103871434881234,1
"multilevel",63050.602161684,67977.4843613622,-63050.602161684,0.43819218588451,1
"nnetar",9591.02193764706,11982.5321658574,1831.01609274418,0.0753625271143192,1
"qgbrt",16458.8062323444,23601.9556251556,-14321.5281129471,0.096083556952394,0.555555555555556
