"comune_key","comune_nome","date","bagged_mean","q05","q50","q95"
"allein","Allein",2025-01-01,14.0579347942782,9.11813660456874,13.7139500868722,19.1315626951345
"allein","Allein",2025-02-01,9.66236444005101,6.19502026062623,9.04114394329895,14.5816562537184
"allein","Allein",2025-03-01,1.71364618255738,1.13417365999471,1.59379394789969,2.72845331201088
"allein","Allein",2025-04-01,8.18591757265621,5.52384863449809,7.68626001517645,12.1546697294111
"allein","Allein",2025-05-01,7.64966715376967,5.8503084281176,7.01007288025055,11.1570920304482
"allein","Allein",2025-06-01,0.000148125451649484,0.000119107206778014,0.000144495569416289,0.000180310077431966
"allein","Allein",2025-07-01,39.0412367591839,26.2512637666089,36.3858553310561,61.7690964052312
"allein","Allein",2025-08-01,133.147134960521,86.1984053081563,126.110198826512,209.76295444772
"allein","Allein",2025-09-01,27.4292093265027,16.4984521271456,27.0681375796703,43.9347818751299
"antey saint andre","Antey-Saint-André",2025-01-01,1859.76097168296,1206.26214588452,1814.25433482262,2530.96448008838
"antey saint andre","Antey-Saint-André",2025-02-01,2364.25839515778,1515.84311999732,2212.25359511089,3567.94689613018
"antey saint andre","Antey-Saint-André",2025-03-01,1650.92572365169,1092.66223648285,1535.46015132553,2628.59031486832
"antey saint andre","Antey-Saint-André",2025-04-01,1300.83889623384,877.804729510816,1221.43741438433,1931.52044527166
"antey saint andre","Antey-Saint-André",2025-05-01,523.388631429865,400.276882651838,479.627724614124,763.365910067825
"antey saint andre","Antey-Saint-André",2025-06-01,1826.50130807967,1468.68392000961,1781.74205453293,2223.36262014417
"antey saint andre","Antey-Saint-André",2025-07-01,2828.19271588673,1901.67215822331,2635.83378885644,4474.62537105937
"antey saint andre","Antey-Saint-André",2025-08-01,3407.08173813049,2205.71785242295,3227.01465218318,5367.59226285289
"antey saint andre","Antey-Saint-André",2025-09-01,1545.38682044822,929.537930590346,1525.04370693923,2475.32592211801
"aosta","Aosta",2025-01-01,11445.2892215185,7423.54493229541,11165.2335432375,15575.9911757842
"aosta","Aosta",2025-02-01,12307.4756153804,7890.93200401394,11516.1935060181,18573.4433727849
