"model","mae","rmse","mape","bias","coverage_90"
"deep_3L_16_8_4 (3 hidden layers)",12269.4140014394,18120.6841092164,0.0683223842169038,-9017.43877527174,0.555555555555556
"deep_2L_8_4  (2 hidden layers)",12395.4386806173,15852.5491429466,0.0850500806082581,-12395.4386806173,0.444444444444444
"deep_2L_12_6 (2 hidden layers)",13921.5216447621,19460.9042446971,0.093082835251064,-13669.7339194547,0.444444444444444
"nnet_1L_16u  (1 hidden layer, 16u)",14231.3091346524,21227.2580372818,0.0958435531931777,-10434.9183263341,0.444444444444444
"nnet_1L_8u   (1 hidden layer, 8u)",14574.5774458918,17837.2693112925,0.111236520378629,-12782.6139485334,0.333333333333333
"nnetar_baseline (forecast::nnetar)",21803.0048594824,24791.1971622451,0.143689107256954,-21803.0048594824,0.333333333333333
