"comune_key","comune_nome","n_obs","actual_total","pred_total","rel_total_pct","mape","mae","bias","reason"
"saint nicolas","Saint-Nicolas",9,3251,6501,100,1.136,361.1,361.1,"rel_total>50% AND MAPE>75%"
"oyace","Oyace",9,65,25.7,-60.4,0.682,5.9,-4.4,"rel_total>50%"
"challand saint victor","Challand-Saint-Victor",9,341,543.7,59.4,1.192,23.6,22.5,"rel_total>50% AND MAPE>75%"
"chamois","Chamois",9,3080,4195.4,36.2,1.631,123.9,123.9,"MAPE>75%"
"ollomont","Ollomont",9,861,1141.7,32.6,1.049,37.9,31.2,"MAPE>75%"
"saint denis","Saint-Denis",9,401,303.3,-24.4,1.086,22.1,-10.9,"MAPE>75%"
"allein","Allein",9,221,247.4,11.9,0.799,14.6,2.9,"MAPE>75%"
"emarese","Emarèse",9,403,382.5,-5.1,1.383,18,-2.3,"MAPE>75%"
