"model","n_comuni","median_mape","median_abs_rel_total_error","mean_coverage_90","share_implausible"
"multilevel",74,0.74703012054064,0.742868833916942,0.632132132132132,0.72972972972973
"nnetar_share",74,0.118518717090962,0.0183929689730833,0.990990990990991,0
"reconciled",74,1.08737789742506,0.832702268474934,0.599099099099099,0.743243243243243
