"scenario","comune_key","comune_nome","date","mean_arrivals","q05","q25","q50","q75","q95"
"baseline","allein","Allein",2025-10-01,64.0043170789346,13.8855250300205,29.7415418249144,45.3381647662637,74.574722742658,175.882127961344
"baseline","allein","Allein",2025-11-01,275.954921311767,70.3513475562904,112.209732508996,185.648677207637,281.246579492828,660.535217719241
"baseline","allein","Allein",2025-12-01,833.053195613588,105.1321150217,245.120324870087,664.554544924488,1120.49632971754,1998.85481754102
"baseline","allein","Allein",2026-01-01,487.934292199554,83.0440547993655,200.533559461226,364.217511050719,715.33544091771,1323.81356481036
"baseline","allein","Allein",2026-02-01,498.796781185078,102.109842857988,166.776378240754,372.218111919143,680.663458597616,1376.84003029429
"baseline","allein","Allein",2026-03-01,190.809341293126,48.4775193108342,84.7143109773002,113.277666175921,222.307647420939,494.826319951929
"baseline","allein","Allein",2026-04-01,136.80278118346,20.9015810769609,49.7816051383292,102.562541853999,152.535071555129,431.563612128495
"baseline","allein","Allein",2026-05-01,79.8755544601944,11.4899140516086,29.9695564048518,50.9265070374167,125.875618786517,197.32695307313
"baseline","allein","Allein",2026-06-01,68.6470726967128,11.8620449769229,16.1920235144445,45.584279411821,82.3103079850153,214.157497411153
"baseline","allein","Allein",2026-07-01,122.522854975043,27.6478738909097,52.8314215130541,76.7670690243936,131.548252642281,382.325984258963
"baseline","allein","Allein",2026-08-01,233.485852328938,49.2505401256659,97.081348459577,170.520079707999,281.2354032576,588.825983119491
"baseline","allein","Allein",2026-09-01,192.955191010183,26.1687387904666,63.9918303007631,132.354779594329,278.76162727458,546.712967478657
"baseline","antey saint andre","Antey-Saint-André",2025-10-01,2191.48583382608,646.578442013153,957.133414889987,1786.42601460646,3022.11608237479,5387.95121174514
"baseline","antey saint andre","Antey-Saint-André",2025-11-01,9016.08405627768,902.568121937487,2345.36574279955,4775.55030392011,12233.0036343769,31890.7279252232
"baseline","antey saint andre","Antey-Saint-André",2025-12-01,27261.2183243846,4273.6192967318,8007.75470701359,15017.5090996128,36084.5943984681,89929.3480036398
"baseline","antey saint andre","Antey-Saint-André",2026-01-01,19584.6379963711,2275.9383493743,4148.42384600855,10894.4984118615,19616.4821925176,35071.645289647
"baseline","antey saint andre","Antey-Saint-André",2026-02-01,18263.9583161347,2361.43106833616,4065.57099327071,9708.15689428108,21174.8379541756,68006.0797464659
"baseline","antey saint andre","Antey-Saint-André",2026-03-01,6922.73301407448,856.891416601675,2312.74178545008,4686.10340809741,8271.61980101351,21052.9880754957
"baseline","antey saint andre","Antey-Saint-André",2026-04-01,3265.82284797834,513.997929339236,1211.73714245364,2268.01838035901,4105.51105509858,8051.71193382869
"baseline","antey saint andre","Antey-Saint-André",2026-05-01,1992.21256283268,264.015987665451,629.960610533969,1489.69804898375,2380.06575287364,5834.31504156343
"baseline","antey saint andre","Antey-Saint-André",2026-06-01,2197.93891544861,342.632989582293,871.903937757854,1418.1353359619,2556.52110632853,6802.55645918302
"baseline","antey saint andre","Antey-Saint-André",2026-07-01,4027.76339524703,740.527416177384,1821.46699155319,2845.62341963296,5071.9693642303,8802.50554969368
"baseline","antey saint andre","Antey-Saint-André",2026-08-01,5912.65610155895,1061.10760460514,2382.58057239445,3165.3147111487,5866.014549548,16568.5207318944
"baseline","antey saint andre","Antey-Saint-André",2026-09-01,3851.0431788209,398.534692085198,1146.68885344672,2369.95708493355,4210.03825226535,13715.1340663062
"baseline","aosta","Aosta",2025-10-01,15054.5238190805,3534.89606072911,6124.86540249044,10441.4731831072,16241.1078453164,43605.771393997
"baseline","aosta","Aosta",2025-11-01,40532.3594765594,7525.8022827342,14256.8681608516,23045.2253886315,55071.2146409353,101904.510215127
"baseline","aosta","Aosta",2025-12-01,79362.0507909233,10896.4818965338,34850.7902493092,58510.1116399048,87576.1712159632,224231.311770512
"baseline","aosta","Aosta",2026-01-01,54456.2236046086,7182.64999132703,17649.1876349465,33570.4434826122,56870.6813817068,137765.047441265
"baseline","aosta","Aosta",2026-02-01,39291.7595546094,7120.41142434673,19353.8847823211,32030.9390922745,56710.926992448,87499.4743045047
"baseline","aosta","Aosta",2026-03-01,18569.7171674879,2935.96153840189,7081.72364924149,14917.9692572429,23040.4054812087,50960.64853854
"baseline","aosta","Aosta",2026-04-01,6962.65835758766,718.677018009595,3054.35978020528,4234.16732723363,8502.00508873993,20830.4169756098
"baseline","aosta","Aosta",2026-05-01,5488.21711357598,538.874844065883,1655.41000427689,3237.44824444939,6761.32091257124,15604.3233191413
"baseline","aosta","Aosta",2026-06-01,3955.73687317368,718.837414828531,1583.10024636668,3073.23823231251,5939.05726158568,8412.59115264652
"baseline","aosta","Aosta",2026-07-01,8100.80397481961,1203.54010856616,2323.30568220897,5917.59890438914,10964.1284357073,21883.3269434534
"baseline","aosta","Aosta",2026-08-01,9822.78807162972,924.057777674499,3364.25450167988,7293.55844468424,14387.777308738,28032.7600408289
"baseline","aosta","Aosta",2026-09-01,9372.41233043617,804.84961339989,3169.0978436501,5778.09578543445,13753.8925541584,25602.8958694512
"baseline","arnad","Arnad",2025-10-01,665.251370757973,153.859363756063,260.936878184236,548.361416423754,758.238113564217,1886.01089489421
"baseline","arnad","Arnad",2025-11-01,2059.95071343714,358.998939052506,749.160630249867,1251.61138499932,2589.95190182691,6002.88283028243
"baseline","arnad","Arnad",2025-12-01,6627.94623080844,543.620335438568,1471.46054407782,3286.09923021517,7502.69107531009,25901.2224427793
"baseline","arnad","Arnad",2026-01-01,3215.97283558474,459.155662479388,1195.70014220931,1899.79379283871,3452.73326920913,9844.62051121879
"baseline","arnad","Arnad",2026-02-01,4045.17505490725,561.02418138735,1394.85548971627,2426.4458594793,4356.31785185128,12341.2220385656
