"model","comune_key","comune_nome","n_obs","actual_total","pred_total","mae","rmse","bias","mape","coverage_90","total_rel_error"
"nnetar_share","donnas","Donnas",9,2348,2394.29220627485,26.5926977362506,36.6274027899889,5.14357847498364,0.126741328612945,1,0.0197155904066665
"nnetar_share","doues","Doues",9,2301,2472.76836431143,36.0058102678349,65.8401033449679,19.0853738123806,0.134275442824924,1,0.0746494412479033
"nnetar_share","emarese","Emarèse",9,403,393.461823439808,2.86616561514635,3.56313744470953,-1.0597973955769,0.115235379114911,1,-0.0236679319111466
"nnetar_share","etroubles","Etroubles",9,13645,14775.1488133463,224.900227366932,371.642607085191,125.572090371811,0.154690304217938,1,0.0828251237336971
"nnetar_share","fenis","Fénis",9,7013,7049.31315411091,73.7058087797966,119.056812414076,4.0347949012127,0.11102839561465,1,0.00517797720104295
"nnetar_share","fontainemore","Fontainemore",9,1900,2102.01799356555,28.9384457304659,46.271015839913,22.4464437295056,0.156711041077178,1,0.106325259771342
"nnetar_share","gaby","Gaby",9,5410,5361.29048593527,46.7453789747314,70.6989826453506,-5.41216822941453,0.113423025463884,1,-0.00900360703599458
"nnetar_share","gignod","Gignod",9,7182,7225.02959884081,77.2321015779055,111.275664148243,4.7810665378679,0.118057939662684,1,0.00599131145096234
"nnetar_share","gressan","Gressan",9,36832,34587.4360247005,321.618773118006,474.710319754318,-249.395997255497,0.111904528682716,1,-0.0609405944640388
"nnetar_share","gressoney la trinite","Gressoney-La-Trinité",9,60507,62230.6022678403,593.531196888669,842.796236183482,191.511363093369,0.148579040369866,1,0.0284859977827412
"nnetar_share","gressoney saint jean","Gressoney-Saint-Jean",9,29157,28768.8476472606,305.105151370099,418.866554430704,-43.1280391932667,0.120321917499381,1,-0.0133124928058237
"nnetar_share","hone","Hône",9,1030,1038.4727483991,10.7998831199013,14.5008278496565,0.941416488788742,0.120155802425612,1,0.00822596931951329
"nnetar_share","introd","Introd",9,4684,4687.1931390784,45.5547391889614,63.5580605605331,0.354793230933274,0.111062698384676,1,0.000681712015029745
