"date","bagged_mean","q05","q50","q95","actual_arrivals"
2025-01-01,137934.140673256,89465.6544860668,134559.019383029,187715.74194269,145079
2025-02-01,161856.488663698,103774.208974065,151450.281268599,244260.677060061,146966
2025-03-01,121487.645491147,80406.3808114716,112990.812280405,193431.626716575,131633
2025-04-01,76346.5483030467,51518.5711130466,71686.4561987069,113361.400401074,77562
2025-05-01,62174.9519409569,47550.1270900053,56976.4586708064,90682.5940069962,66037
2025-06-01,145341.94333221,116868.996551331,141780.272248917,176921.769787121,140116
2025-07-01,262201.276283074,176303.70948813,244367.712152714,414841.773896776,260045
2025-08-01,286929.923234962,185756.169859598,271765.439633123,452035.775573157,263483
2025-09-01,166584.249990202,100199.10675822,164391.373577953,266826.600797421,110426
