comune_key,variable,n_obs,x_sd,x_q10,x_q50,x_q90,pearson_r,spearman_rho,linear_adj_r2,quad_adj_r2,delta_adj_r2_quad,quad_term_p,aic_gain_quad,loess_r2,loess_gain_over_linear,sign_changes_binned,nonlinear_score,nonlinear_flag
allein,lag12,55,0.898829471512605,7.581160030880044,8.089789175789319,8.578118654969156,0.09999905032295901,0.4908369408369408,-0.008679438801195039,0.12000079763951466,0.1286802364407097,0.004649676541428773,6.553845404565919,0.16633741698832483,0.17501685578951987,0,31.569709223022954,likely_nonlinear
allein,lag24,56,0.30998646215985726,7.583195724586918,8.06147970185666,8.532377089069609,0.38216586756269977,0.4082023239917977,0.13023687533606054,0.172869945986586,0.04263307065052546,0.05707876384470445,1.8612612883907218,0.3484735567210586,0.21823668138499808,1,26.886975203552357,likely_nonlinear
antey saint andre,temp,57,7.171893914806866,3.8698119990916586,11.7667855846914,22.24058076073496,-0.1481656384938225,-0.19373865698729587,0.004170384729014764,0.3883546811748938,0.38418429644587904,1.9615340980883629e-7,26.82904632282264,0.45350645539361545,0.4493360706646007,1,85.35203671104797,likely_nonlinear
antey saint andre,HDD,57,5.802131818943429,0,6.2332144153086,14.13018800090834,0.28331599959805914,0.22894732889751718,0.06354555482148738,0.2415795902334139,0.17803403541192653,4.6139154756642245e-4,11.065092748487913,0.37141462036402373,0.30786906554253635,1,50.590310095446284,likely_nonlinear
aosta,temp,57,6.901575960990985,1.8773049466474,9.3915658079631,19.80521030646554,-0.21392009576728177,-0.22102670469276645,0.0284120220525943,0.3822431601281706,0.3538311380755763,5.118134056967407e-7,24.857604577572886,0.4132905355213665,0.3848785134687722,1,75.87096515443486,likely_nonlinear
aosta,HDD,57,6.373029553090705,0,8.6084341920369,16.1226950533526,0.2680772840448357,0.24104060964316862,0.05499025622487286,0.3192084704215379,0.264218214196665,1.6705638734141374e-5,17.738429774901306,0.3546569855937455,0.2996667293688726,1,58.388494356553764,likely_nonlinear
arnad,lag24,57,0.30972794304706686,11.933180111481121,12.195890987923034,12.743662708750689,-0.18962494665424987,-0.2374254602022298,0.01842957712805693,0.2422433626197691,0.22381378549171216,1.1759492710046949e-4,13.797015615627735,0.3033619931564552,0.28493241602839825,1,52.87462015201104,likely_nonlinear
arnad,lag12,57,0.35414993557074725,11.933180111481121,12.195890987923034,12.809602748178028,0.6055595867776133,0.5318252527871403,0.3551879115589699,0.37011913631726123,0.01493122475829134,0.13489391586147373,0.3813107186925926,0.4799101185682747,0.12472220700930481,1,14.765343176759616,mostly_linear_or_weak
arvier,HDD,57,6.2275400181957785,2.4171657263732205,12.70532134638514,17.858454074069044,0.4374023664718048,0.46415607985480956,0.1766175725623197,0.37883150281417943,0.20221393025185974,6.12561574585947e-5,15.109549162084207,0.47420319322079707,0.2975856206584774,1,51.979955091033716,likely_nonlinear
arvier,temp,57,6.2275400181957785,0.14154592593095344,5.29467865361486,15.58283427362678,-0.4374023664718048,-0.46415607985480956,0.17661757256231936,0.37883150281418054,0.20221393025186118,6.125615745859159e-5,15.109549162084278,0.47420319322079474,0.2975856206584754,1,51.97995509103366,likely_nonlinear
avise,lag24,57,0.2490657102888259,10.99998143206518,11.352087474843115,11.609496635394748,0.6629988241061302,0.7494166450609284,0.42937775787095,0.4881514737876914,0.05877371591674141,0.009125863566426659,5.241725905789412,0.5586177781538887,0.12924002028293868,1,20.80137361996801,likely_nonlinear
avise,log_arrivi,57,1.4767019113130677,1.318334746401733,3.970291913552122,5.190672805005969,-0.3408408382816649,-0.35636097961495933,0.10010288571401293,0.09901268979168876,-0.0010901959223241775,0.338275256830494,-1.023110937337174,0.26787841798170187,0.16777553226768893,2,18.377553226768896,mostly_linear_or_weak
ayas,temp,57,5.550963090339311,-2.169814528430442,2.59634759982108,11.52883796417104,-0.5736617689758456,-0.5051205600207416,0.31688942200603387,0.45862678573018223,0.14173736372414836,2.481348791751132e-4,12.301128119027837,0.6377154151635924,0.32082599315755855,1,48.256335688170694,likely_nonlinear
ayas,HDD,57,5.550963090339311,6.471162035828961,15.40365240017892,20.169814528430443,0.5736617689758456,0.5051205600207416,0.3168894220060341,0.4586267857301807,0.14173736372414658,2.481348791751371e-4,12.30112811902763,0.6377154151635915,0.32082599315755744,1,48.2563356881704,likely_nonlinear
aymavilles,HDD,57,6.226812492450409,2.6340793708984607,12.88948897007961,18.141710392639908,0.5122553824872338,0.5370106300233344,0.24899476919418218,0.3754164848541449,0.12642171565996274,9.904215417571877e-4,9.55257211011677,0.4492047767993529,0.20021000760517071,1,34.66317232651335,likely_nonlinear
