variable,municipalities,likely_nonlinear_count,share_likely_nonlinear,median_delta_adj_r2_quad,median_loess_gain,median_score
temp,74,64,0.8648648648648649,0.1372300419618741,0.21531356928712425,38.153663170756104
HDD,74,61,0.8243243243243243,0.1319303585070432,0.21067324276298216,37.05081333180709
log_arrivi,74,29,0.3918918918918919,0.0035763439881855152,0.14228571824952024,17.507937010016537
lag12,74,19,0.25675675675675674,0.0013452095793387575,0.035489656398524916,4.652791138333544
lag24,74,18,0.24324324324324326,0.0018238636757826332,0.049719093354876676,5.642979649637769
CDD,74,0,0,-0.01791865348650945,NA,NA
