comune_key,variable,n_obs,x_sd,x_q10,x_q50,x_q90,pearson_r,spearman_rho,linear_adj_r2,quad_adj_r2,delta_adj_r2_quad,quad_term_p,aic_gain_quad,loess_r2,loess_gain_over_linear,sign_changes_binned,nonlinear_score,nonlinear_flag
allein,lag12,55,0.898829471512605,7.581160030880044,8.089789175789319,8.578118654969156,0.09999905032295901,0.4908369408369408,-0.008679438801195039,0.12000079763951466,0.1286802364407097,0.004649676541428773,6.553845404565919,0.16633741698832483,0.17501685578951987,0,31.569709223022954,likely_nonlinear
allein,lag24,56,0.30998646215985726,7.583195724586918,8.06147970185666,8.532377089069609,0.38216586756269977,0.4082023239917977,0.13023687533606054,0.172869945986586,0.04263307065052546,0.05707876384470445,1.8612612883907218,0.3484735567210586,0.21823668138499808,1,26.886975203552357,likely_nonlinear
allein,log_arrivi,56,1.516499523464449,0,2.0794415416798357,3.996134321635372,0.06941241432073686,-0.051962697660057976,-0.013611211492576825,0.02421746013246906,0.037828671625045884,0.08438055487815695,1.1767158609202966,0.0662840125289218,0.07989522402149862,1,12.572389564654452,likely_nonlinear
allein,HDD,56,6.400023712104662,1.1354716371860984,11.062062707171215,17.286797643971333,0.37169750879797897,0.580495223858232,0.12219902023267226,0.10566796991536676,-0.016531050317305507,0.9658456671409035,-1.9980443735530287,0.1694896047925475,0.047290584559875226,0,4.729058455987523,mostly_linear_or_weak
allein,temp,56,6.433178797327844,0.7132023560286664,6.937937292828785,16.8645283628139,-0.37173545611580555,-0.5810663021189337,0.12222775395091545,0.10572404818804937,-0.016503705762866083,0.9534538064465605,-1.9963659546617691,0.16846146820829944,0.046233714257383984,0,4.623371425738398,mostly_linear_or_weak
allein,CDD,56,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,insufficient_data_or_variation
antey saint andre,temp,57,7.171893914806866,3.8698119990916586,11.7667855846914,22.24058076073496,-0.1481656384938225,-0.19373865698729587,0.004170384729014764,0.3883546811748938,0.38418429644587904,1.9615340980883629e-7,26.82904632282264,0.45350645539361545,0.4493360706646007,1,85.35203671104797,likely_nonlinear
antey saint andre,HDD,57,5.802131818943429,0,6.2332144153086,14.13018800090834,0.28331599959805914,0.22894732889751718,0.06354555482148738,0.2415795902334139,0.17803403541192653,4.6139154756642245e-4,11.065092748487913,0.37141462036402373,0.30786906554253635,1,50.590310095446284,likely_nonlinear
antey saint andre,log_arrivi,57,1.0844827360342624,5.54354738595754,7.172424577124845,7.959442985115351,0.518361812307118,0.7269898885143895,0.25540258606665134,0.42200937307245767,0.16660678700580633,1.3749294781050783e-4,13.483204966625308,0.5734116160757237,0.3180090300090723,1,50.461581701487866,likely_nonlinear
antey saint andre,lag24,57,0.12527594332069145,11.825393265356157,11.978092416324436,12.163827499869043,0.8121302505368608,0.8714026445423907,0.6533656446341026,0.6699937530816281,0.01662810844752549,0.05736312549360763,1.8479587234180315,0.7253984679396297,0.07203282330552707,0,8.866093175305256,likely_nonlinear
antey saint andre,lag12,57,0.128092961523903,11.86302395722118,11.993467123627628,12.193639706575347,0.8274840974934152,0.8690692247861034,0.6789977485427519,0.6800687988982743,0.0010710503555224626,0.2813505101264896,-0.7635959263607646,0.7102214629664698,0.031223714423717963,0,3.2294764779240426,mostly_linear_or_weak
antey saint andre,CDD,57,0.6884766380099747,0,0,0.24058076073495985,0.23406855016272013,0.16864583429180494,0.03760241501482853,0.03073516594815362,-0.0068672490666749075,0.4380773604001259,-1.359381967316196,NA,NA,1,NA,mostly_linear_or_weak
aosta,temp,57,6.901575960990985,1.8773049466474,9.3915658079631,19.80521030646554,-0.21392009576728177,-0.22102670469276645,0.0284120220525943,0.3822431601281706,0.3538311380755763,5.118134056967407e-7,24.857604577572886,0.4132905355213665,0.3848785134687722,1,75.87096515443486,likely_nonlinear
aosta,HDD,57,6.373029553090705,0,8.6084341920369,16.1226950533526,0.2680772840448357,0.24104060964316862,0.05499025622487286,0.3192084704215379,0.264218214196665,1.6705638734141374e-5,17.738429774901306,0.3546569855937455,0.2996667293688726,1,58.388494356553764,likely_nonlinear
aosta,lag24,57,0.17566688349811754,15.363292855166037,15.662638979789998,15.795685310789388,0.2903314974366843,0.38268084003111236,0.06764314892026124,0.052760818308519974,-0.014882330611741268,0.7138528270357256,-1.8567511103178447,0.3058186116987882,0.23817546277852697,2,25.417546277852697,mostly_linear_or_weak
aosta,lag12,57,0.1508546045678471,15.39737456933779,15.708699175141154,15.804688928009053,0.4997419989858782,0.586919885921701,0.23610101219677604,0.2653898108708501,0.02928879867407408,0.07957488223646642,1.274347932930084,0.3979859567197117,0.16188494452293567,0,19.117374319700975,likely_nonlinear
